ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
OLDER ADULT CENTER CONTRACTS,C6901,SAGE BRONX CENTER AT CROTONA PRIDE HOUSE (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,1784 Prospect Avenue,BRONX,NY,10457,BRONX,929-458-2150,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.841212,-73.891989,206,17,367,2000000,2029520021,East Tremont,POINT (-73.891989 40.841212)
OLDER ADULT CENTER CONTRACTS,C1902,CENTRAL HARLEM ST NICK (C19),CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,210 W. 131st Street,NEW YORK,NY,10037,MANHATTAN,646-678-4451,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.812977,-73.946140,110,09,224,1081515,1019330050,Central Harlem North-Polo Grounds,POINT (-73.94614 40.812977)
OLDER ADULT CENTER CONTRACTS,C5805,RAIN GUNHILL OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,3377 White Plains Road,BRONX,NY,10462,BRONX,718-881-5589,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.874872,-73.867060,212,12,374,2087299,2046240037,Williamsbridge-Olinville,POINT (-73.86706 40.874872)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5301,HAMILTON MADISON ALFRED SMITH HOUSES NORC (N53),HAMILTON MADISON HOUSE INC,50 Madison Street,NEW YORK,NY,10038,MANHATTAN,212-349-3724,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.711958,-73.997825,103,01,25,1077420,1001110100,Chinatown,POINT (-73.997825 40.711958)
OLDER ADULT CENTER CONTRACTS,W1502,OUR LADY OF POMPEII (W15),GREENWICH HOUSE INC.,25 Carmine Street,NEW YORK,NY,10014,MANHATTAN,212-989-3620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.730178,-74.002955,102,03,67,1009904,1005860020,West Village,POINT (-74.002955 40.730178)
OLDER ADULT CENTER CONTRACTS,C4702,JCCGCI HABER HOUSE OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3024 West 24th Street,BROOKLYN,NY,11224,BROOKLYN,718-372-5775,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,07:30,02:30,00:00,00:00,00:00,00:00,40.573171,-73.990645,313,47,352,3322050,3070700001,Seagate-Coney Island,POINT (-73.990645 40.573171)
OLDER ADULT CENTER CONTRACTS,C3701,GRAND ST SETTLEMENT GRAND COALITION OF OLDER ADULTS OAC (C37),GRAND STREET SETTLEMENT INC,175  Delancey street,NEW YORK,NY,10002,MANHATTAN,646-201-4251,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717466,-73.985004,103,01,1402,1000000,1003477501,Lower East Side,POINT (-73.985004 40.717466)
OLDER ADULT CENTER CONTRACTS,W1907,PSS KING TOWERS (W19),PRESBYTERIAN SENIOR SERVICES,50 Lenox Avenue,NEW YORK,NY,10026,MANHATTAN,646-861-2077,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.799593,-73.951421,110,09,186,1083312,1015960001,Central Harlem South,POINT (-73.951421 40.799593)
CASE MANAGEMENT SERVICES CONTRACTS,2MP01,RISEBORO - CMA - BK01 03 04 (2MP),RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,BROOKLYN,NY,11221,BROOKLYN,929-251-6626,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.691707,-73.919907,304,37,399,3076253,3033310025,Bushwick South,POINT (-73.919907 40.691707)
ELDER ABUSE SERVICES CONTRACTS,1E501,METRO NY - ELDER JUSTICE - BK SOUTH (1E5),METROPOLITAN NY COORDINATING COUNCIL ON JEWISH POVERTY D/B/A,1271 60th Street,BROOKLYN,NY,11219,BROOKLYN,212-453-9500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.629319,-73.999308,312,44,192,3141047,3057110048,Borough Park,POINT (-73.999308 40.629319)
OLDER ADULT CENTER CONTRACTS,C1201,BCA BENSONHURST OLDER ADULT CENTER (C12),BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,6409 20th Avenue,BROOKLYN,NY,11204,BROOKLYN,718-331-3088,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.616996,-73.985354,311,43,254,3133622,3055490005,Bensonhurst West,POINT (-73.985354 40.616996)
OLDER ADULT CENTER CONTRACTS,W2104,SELFHELP LATIMER (W21),SELFHELP COMMUNITY SERVICES INC,34-30 137th Street,FLUSHING,NY,11354,QUEENS,718-961-3660,Y,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,00:00,00:00,00:00,00:00,40.766044,-73.829935,407,20,88901,4443410,4049510008,Flushing,POINT (-73.829935 40.766044)
OLDER ADULT CENTER CONTRACTS,C8303,JASA SUE GINSBURG (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,975 Waring Avenue,BRONX,NY,10469,BRONX,718-881-1758,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.861214,-73.859738,211,13,324,2093415,2044440001,Bronxdale,POINT (-73.859738 40.861214)
HOME DELIVERED MEAL SERVICE CONTRACTS,6XQ01,METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY (6XQ),METROPOLITAN NY COORDINATING COUNCIL ON JEWISH POVERTY D/B/A,1 State Street Plaza,NEW YORK,NY,10005,MANHATTAN,212-453-9500,Y,,,,,,,,,,,,,,,40.702411,-74.012948,101,01,9,1000018,1000090001,Battery Park City-Lower Manhattan,POINT (-74.012948 40.702411)
OLDER ADULT CENTER CONTRACTS,C8801,VISIONS CENTER ON AGING OAC (C88),VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,135 West 23rd Street,NEW YORK,NY,10011,MANHATTAN,646-486-4444,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.743386,-73.993916,104,03,91,1014949,1007990021,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.993916 40.743386)
OLDER ADULT CENTER CONTRACTS,C2202,CASC NEW LANE NSC (C22),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,70 New Lane,STATEN ISLAND,NY,10301,STATEN ISLAND,718-448-5936,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.612811,-74.062256,501,49,6,5042254,5028320068,Stapleton-Rosebank,POINT (-74.062256 40.612811)
OLDER ADULT CENTER CONTRACTS,C7601,STANLEY ISAACS NSC/HOLMES OLDER ADULT CENTER (C76),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 E 93rd Street,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.780904,-73.945112,108,05,152,1082367,1015730001,Yorkville,POINT (-73.945112 40.780904)
OLDER ADULT CENTER CONTRACTS,C9008,WAYSIDE OUT GLENMORE PLAZA SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,1777 Pitkin Avenue,BROOKLYN,NY,11212,BROOKLYN,917-962-8276,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.670168,-73.907561,316,37,906,3080766,3035070001,Brownsville,POINT (-73.907561 40.670168)
OLDER ADULT CENTER CONTRACTS,C3511,HUGH GILROY OAC (C35),FORT GREENE COUNCIL,447 Kingsborough 4th Walk,BROOKLYN,NY,11233,BROOKLYN,718-756-8400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.675242,-73.924931,308,41,307,3035751,3013440175,Crown Heights North,POINT (-73.924931 40.675242)
CASE MANAGEMENT SERVICES CONTRACTS,2MG01,JASA STOREFRONT CASE MANAGEMENT PROGRAM (2MG),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2211 CHURCH AVENUE,BROOKLYN,NY,11226,BROOKLYN,212-273-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.650424,-73.958175,314,40,79602,3116881,3050890071,Prospect Lefferts Gardens-Wingate,POINT (-73.958175 40.650424)
OLDER ADULT CENTER CONTRACTS,C0803,BERGEN BASIN MARINE PARK OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,3000 Fillmore Avenue,BROOKLYN,NY,11234,BROOKLYN,718-336-0275,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.608592,-73.937467,318,46,666,3000000,3084960001,park-cemetery-etc-Brooklyn,POINT (-73.937467 40.608592)
CITY MEALS ADMINISTRATIVE SERVICES CONTRACTS,CM601,CMOW HDM CITYWIDE (CM6),CITYMEALS-ON-WHEELS,355 Lexington Ave Fl 3,NEW YORK,NY,10017,MANHATTAN,212-687-1234,Y,09:00,00:00,09:00,00:00,09:00,00:00,09:00,00:00,09:00,00:00,00:00,00:00,00:00,00:00,40.750245,-73.976909,106,04,80,1036147,1012950023,Murray Hill-Kips Bay,POINT (-73.976909 40.750245)
LEGAL SERVICES CONTRACTS,40A01,JASA LEGAL SERVICES QN (40A),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,97-77 QUEENS BOULEVARD,FLUSHING,NY,11374,QUEENS,718-286-1500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.728721,-73.858501,406,29,71701,4050482,4020920001,Rego Park,POINT (-73.858501 40.728721)
TRANSPORTATION SERVICES CONTRACTS,61401,SENTRY- TRAN INDIVIDUAL RIDES - CITYWIDE (614),Fejost LLC,90 Lincoln Avenue,BRONX,NY,10454,BRONX,917-259-7735,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.807309,-73.929824,201,08,19,2000682,2023080001,Mott Haven-Port Morris,POINT (-73.929824 40.807309)
OLDER ADULT CENTER CONTRACTS,C2101,CPC BROOKLYN SENIOR CENTER (C21),CHINESE AMERICAN PLANNING COUNCIL INC,4101 8th Avenue,BROOKLYN,NY,11232,BROOKLYN,917-922-8382,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.646070,-73.998544,312,38,92,3018218,3009230009,Sunset Park East,POINT (-73.998544 40.64607)
OLDER ADULT CENTER CONTRACTS,C2501,FLORENCE E SMITH OAC (C25),FLORENCE E. SMITH SENIOR SERVICE,102-19 34 Avenue,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.755742,-73.865988,403,21,379,4042602,4017170033,North Corona,POINT (-73.865988 40.755742)
OLDER ADULT CENTER CONTRACTS,C1703,CCNS CATHERINE SHERIDAN OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83rd Street,FLUSHING,NY,11372,QUEENS,718-458-4600,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.751548,-73.883703,403,25,283,4437136,4014560001,Jackson Heights,POINT (-73.883703 40.751548)
OLDER ADULT CENTER CONTRACTS,C7207,RAICES FARRAGUT OAC SATELLITE (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,228 York Street,BROOKLYN,NY,11201,BROOKLYN,718-422-1069,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.701304,-73.981762,302,35,23,3325909,3000710001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.981762 40.701304)
HOME DELIVERED MEAL SERVICE CONTRACTS,29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,212-273-5200,Y,,,,,,,,,,,,,,,40.651173,-73.885082,305,42,105801,3336175,3044350001,Starrett City,POINT (-73.885082 40.651173)
OLDER ADULT CENTER CONTRACTS,C1802,WEST BRIGHTON NEIGHBORHOOD SENIOR CENTER (C18),CATHOLIC CHARITIES OF STATEN ISLAND INC.,230 Broadway,STATEN ISLAND,NY,10310,STATEN ISLAND,718-727-9793,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.636486,-74.117523,501,49,13301,5095818,5001960001,West New Brighton-New Brighton-St. George,POINT (-74.117523 40.636486)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6101,COMMONPOINT QUEENS CLEARVIEW GARDENS NORC (N61),COMMONPOINT QUEENS,163-59 17TH AVENUE,FLUSHING,NY,11357,QUEENS,718-352-4157,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.782976,-73.798982,407,19,1017,4444920,4057300001,Ft. Totten-Bay Terrace-Clearview,POINT (-73.798982 40.782976)
OLDER ADULT CENTER CONTRACTS,C5201,NORTHEAST BRONX (C52),NORTHEAST BRONX SENIOR CITIZENS INC,2968 Bruckner Blvd,BRONX,NY,10465,BRONX,718-892-6090,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.833889,-73.826264,210,13,164,2097558,2054200002,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.826264 40.833889)
TRANSPORTATION SERVICES CONTRACTS,24604,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC (246),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 WEST   37 STREET,BROOKLYN,NY,11224,BROOKLYN,718-449-5000,Y,,,,,,,,,,,,,,,40.573177,-74.002509,313,47,340,3189617,3070650001,Seagate-Coney Island,POINT (-74.002509 40.573177)
TRANSPORTATION SERVICES CONTRACTS,44601,HANAC - TRAN INDIVIDUAL RIDES - QN WEST (446),HANAC INC.,27-40 Hoyt Avenue South,LONG ISLAND CITY,NY,11102,QUEENS,212-840-8005,Y,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,00:00,00:00,00:00,00:00,40.771857,-73.919800,401,22,69,4537921,4008390001,Old Astoria,POINT (-73.9198 40.771857)
OLDER ADULT CENTER CONTRACTS,C2003,MMCC-CDC OLDER ADULT CENTER MARBLE HILL (C20),CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,5365 Broadway,BRONX,NY,10463,BRONX,718-562-8551,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.876062,-73.907886,208,10,309,1082782,1022150623,Marble Hill-Inwood,POINT (-73.907886 40.876062)
OLDER ADULT CENTER CONTRACTS,W2204,JASA BROOKDALE VILLAGE (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 Beach 19 Street,FAR ROCKAWAY,NY,11691,QUEENS,718-471-3200,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
OLDER ADULT CENTER CONTRACTS,C7203,CORONA OAC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,107-24 Corona Avenue,FLUSHING,NY,11368,QUEENS,718-321-0463,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.743551,-73.855705,404,21,439,4431694,4019420053,Corona,POINT (-73.855705 40.743551)
OLDER ADULT CENTER CONTRACTS,C3502,MARCUS GARVEY (C35),FORT GREENE COUNCIL,1440 East New York Avenue,BROOKLYN,NY,11212,BROOKLYN,718-346-7167,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.670654,-73.914575,316,41,902,3080727,3034960013,Brownsville,POINT (-73.914575 40.670654)
OLDER ADULT CENTER CONTRACTS,W1702,AVIS SOUTH SHORE OAC (W17),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1297 Arthur Kill Road,STATEN ISLAND,NY,10312,STATEN ISLAND,718-475-5283,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.565339,-74.183774,503,51,228,5077603,5059000105,New Springville-Bloomfield-Travis,POINT (-74.183774 40.565339)
OLDER ADULT CENTER CONTRACTS,C7101,SOUTHSIDE LOS SURES DAVID SANTIAGO (C71),SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP,201 South 4th Street,BROOKLYN,NY,11211,BROOKLYN,718-384-2314,Y,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,00:00,00:00,00:00,00:00,40.710881,-73.960160,301,34,523,3321304,3024320025,North Side-South Side,POINT (-73.96016 40.710881)
CAREGIVER SERVICES CONTRACTS,4K301,SNAP CAREGIVER QN 08-14 (4K3),SERVICES NOW FOR ADULT PERSONS INC,80-45 WINCHESTER BOULEVARD,JAMAICA,NY,11427,QUEENS,718-527-5380,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.737685,-73.734021,413,23,1567,4537294,4078800400,Bellerose,POINT (-73.734021 40.737685)
OLDER ADULT CENTER CONTRACTS,C1601,CARTER BURDEN LUNCHEON CLUB & SOCIAL SERVICE UNIT (C16),CARTER BURDEN NETWORK INC.,351 East 74th Street,NEW YORK,NY,10021,MANHATTAN,646-937-3520,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.769620,-73.956197,108,05,134,1044930,1014490020,Lenox Hill-Roosevelt Island,POINT (-73.956197 40.76962)
OLDER ADULT CENTER CONTRACTS,C6701,SEBCO SENIOR CENTER (C67),SEBCO DEVELOPMENT INC,887 Southern Boulevard,BRONX,NY,10459,BRONX,718-617-3465,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.818913,-73.893550,202,17,89,2005752,2027220040,Hunts Point,POINT (-73.89355 40.818913)
HOME DELIVERED MEAL SERVICE CONTRACTS,42N02,CCNS HDM - QUEENS 2 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101 Avenue,JAMAICA,NY,11416,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.686027,-73.839777,409,28,112,4198392,4094210001,Richmond Hill,POINT (-73.839777 40.686027)
OLDER ADULT CENTER CONTRACTS,C5604,QCH QUEENS CENTER FOR GAY SENIORS (QCGS) OAC (C56),QUEENS COMMUNITY HOUSE INC.,37-06 77th Street,FLUSHING,NY,11372,QUEENS,718-533-6459,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748907,-73.889020,403,25,287,4029864,4012870010,Jackson Heights,POINT (-73.88902 40.748907)
OLDER ADULT CENTER CONTRACTS,C0807,BERGEN BASIN VANDALIA OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,47 Vandalia Avenue,BROOKLYN,NY,11239,BROOKLYN,718-272-3949,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.649799,-73.886760,305,42,105804,3348859,3044310100,Starrett City,POINT (-73.88676 40.649799)
OLDER ADULT CENTER CONTRACTS,C3506,ALBANY OAC (C35),FORT GREENE COUNCIL,196 Albany Avenue,BROOKLYN,NY,11213,BROOKLYN,718-773-2600,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.673880,-73.938974,308,36,343,3031082,3012300044,Crown Heights North,POINT (-73.938974 40.67388)
OLDER ADULT CENTER CONTRACTS,C8501,UJCES LILLIAN WALD OAC CENTER (C85),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,12 Ave D,NEW YORK,NY,10009,MANHATTAN,212-260-2731,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.720462,-73.978369,103,02,20,1078045,1003560001,Lower East Side,POINT (-73.978369 40.720462)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6802,JASA BUSHWICK HYLAN NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,50 Humboldt Street,BROOKLYN,NY,11206,BROOKLYN,718-408-7532,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.703179,-73.940761,301,34,489,3338434,3031290001,Bushwick South,POINT (-73.940761 40.703179)
OLDER ADULT CENTER CONTRACTS,4N101,NNORC WOW (4N1),COMMONPOINT QUEENS,58-20 Little Neck Parkway,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,,,,,,,,,,,,,,,40.761577,-73.723122,411,23,152902,4173029,4083520051,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577)
OLDER ADULT CENTER CONTRACTS,C3602,GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),GODDARD-RIVERSIDE COMMUNITY CENTER,593 Columbus Avenue,NEW YORK,NY,10024,MANHATTAN,212-873-6600,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.788212,-73.970904,107,06,173,1079511,1012020001,Upper West Side,POINT (-73.970904 40.788212)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6204,SELFHELP FRESH MEADOWS NORC (N62),SELFHELP COMMUNITY SERVICES INC,67-00 192ND STREET,FLUSHING,NY,11365,QUEENS,718-559-4330,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.737813,-73.781534,408,23,1347,4444040,4071170003,Fresh Meadows-Utopia,POINT (-73.781534 40.737813)
OLDER ADULT CENTER CONTRACTS,W2405,CORSI OAC (W24),UNION SETTLEMENT ASSOCIATION,307 E 116th Street,NEW YORK,NY,10029,MANHATTAN,212-828-6756,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.796935,-73.937590,111,08,188,1079357,1016880045,East Harlem North,POINT (-73.93759 40.796935)
OLDER ADULT CENTER CONTRACTS,C5501,POLISH & SLAVIC CTR KRAKUS OAC (+ SOCIAL SVS) (C55),POLISH & SLAVIC CENTER INC,176 Java Street,BROOKLYN,NY,11222,BROOKLYN,718-383-5290,Y,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,00:00,00:00,00:00,00:00,40.731692,-73.953577,301,33,575,3064615,3025510014,Greenpoint,POINT (-73.953577 40.731692)
HOME DELIVERED MEAL SERVICE CONTRACTS,28E01,RISEBORO HDM - BROOKLYN 1 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301,34,491,3071447,3030960030,East Williamsburg,POINT (-73.943775 40.704366)
OLDER ADULT CENTER CONTRACTS,C1603,CBN LEONARD COVELLO (ISC) SENIOR PROGRAM (C16),CARTER BURDEN NETWORK INC.,312 East 109th Street,NEW YORK,NY,10029,MANHATTAN,212-423-9665,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.792306,-73.940480,111,08,170,1074278,1016800045,East Harlem South,POINT (-73.94048 40.792306)
OLDER ADULT CENTER CONTRACTS,C1717,CCNS THE LODGE OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18th Avenue,BROOKLYN,NY,11214,BROOKLYN,718-621-1081,Y,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,00:00,00:00,00:00,00:00,40.612087,-73.997288,311,47,274,3161485,3062490006,Bensonhurst West,POINT (-73.997288 40.612087)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5101,CENTER LIGHT PARKCHESTER ENHANCED NORC (N51),CENTERLIGHT HEALTH SYSTEM INC.,1525 Unionport Road,BRONX,NY,10462,BRONX,718-409-1619,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.836585,-73.856898,209,18,212,2096653,2039387501,Parkchester,POINT (-73.856898 40.836585)
OLDER ADULT CENTER CONTRACTS,W2105,SELFHELP MASPETH (W21),SELFHELP COMMUNITY SERVICES INC,69-61 Grand Avenue,FLUSHING,NY,11378,QUEENS,718-429-3636,Y,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,00:00,00:00,00:00,00:00,40.727019,-73.893556,405,30,49302,4058561,4025010032,Maspeth,POINT (-73.893556 40.727019)
TRANSPORTATION SERVICES CONTRACTS,24605,JCC OF GREATER CONEY ISLAND (246),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 WEST   37 STREET,BROOKLYN,NY,11224,BROOKLYN,718-449-5000,Y,,,,,,,,,,,,,,,40.573177,-74.002509,313,47,340,3189617,3070650001,Seagate-Coney Island,POINT (-74.002509 40.573177)
OLDER ADULT CENTER CONTRACTS,C9601,BORO PARK Y OAC (C96),YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK,4912 14th Avenue,BROOKLYN,NY,11219,BROOKLYN,718-435-3804,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.633570,-73.990060,312,44,236,3328617,3056420042,Borough Park,POINT (-73.99006 40.63357)
