rank,priority,venue,sponsor,sponsor_center_count,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,website,notes
165,LOW,SOUTHSIDE LOS SURES DAVID SANTIAGO,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP,1,201 South 4th Street,Brooklyn,11211,718-384-2314,Senior Center (DFTA),C7101,,,,,,Sponsor: SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP | Hours: 09:00-04:00 Mon-Fri
166,LOW,ST. GABRIEL'S EPISCOPAL CHURCH OAC,ST GABRIELS EPISCOPAL CHURCH,1,331 Hawthorne Street,Brooklyn,11225,718-773-4049,Senior Center (DFTA),C7301,,,,,,Sponsor: ST GABRIELS EPISCOPAL CHURCH | Hours: 09:00-05:00 Mon-Fri
167,LOW,PROSPECT HILL NSC,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH,1,283 Prospect Avenue,Brooklyn,11215,718-499-9574,Senior Center (DFTA),C7401,,,,,,Sponsor: ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH | Hours: 09:00-05:00 Mon-Fri
168,LOW,ST NICKS ALLIANCE COOPER PARK SOCIAL 2,ST. NICKS ALLIANCE CORP.,2,288 Frost Street,Brooklyn,11222,718-227-3652,Senior Center (DFTA),C7501,,,,info@stnicksalliance.org,https://stnicksalliance.org,Sponsor: ST. NICKS ALLIANCE CORP. | Hours: 09:00-04:00 Mon-Fri
169,LOW,ST NICKS ALLIANCE SWINGING SIXTIES OAC 2,ST. NICKS ALLIANCE CORP.,2,211 Ainslie Street,Brooklyn,11211,718-963-3793,Senior Center (DFTA),C7502,,,,info@stnicksalliance.org,https://stnicksalliance.org,Sponsor: ST. NICKS ALLIANCE CORP. | Hours: 09:00-04:00 Mon-Fri
170,LOW,SHORE HILL OLDER ADULT CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,2,9000 Shore Road,Brooklyn,11209,347-377-5474,Senior Center (DFTA),C8001,,,,,,Sponsor: SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A | Hours: 09:00-05:00 Mon-Fri
171,LOW,SUNSET PARK OAC,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,2,4520 4th Avenue,Brooklyn,11220,718-210-1050,Senior Center (DFTA),C8002,,,,,,Sponsor: SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A | Hours: 09:00-05:00 Mon-Fri
172,LOW,UCA COMMUNITY SERVICE CENTER,UNITED CHINESE ASSOCIATION OF BROOKLYN  INC,1,1787 Stillwell Avenue,Brooklyn,11223,718-232-0055,Senior Center (DFTA),2TZ01,,,,,,Sponsor: UNITED CHINESE ASSOCIATION OF BROOKLYN  INC | Hours: - Mon-Fri
173,LOW,UNITED NEIGHBORHOOD SENIOR CITIZENS CTR,UNITED SENIOR CITIZENS OF SUNSET PARK INC,1,475 53rd Street,Brooklyn,11220,718-439-8647,Senior Center (DFTA),C8601,,,,,,Sponsor: UNITED SENIOR CITIZENS OF SUNSET PARK INC | Hours: 08:00-04:00 Mon-Fri
174,LOW,YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA,YMCA OF GREATER NEW YORK,2,1401 Flatbush Avenue,Brooklyn,11210,212-630-9645,Senior Center (DFTA),C9302,,,,info@ymcanyc.org,https://ymcanyc.org,Sponsor: YMCA OF GREATER NEW YORK | Hours: 09:00-05:00 Mon-Fri
175,LOW,BORO PARK Y OAC,YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK,1,4912 14th Avenue,Brooklyn,11219,718-435-3804,Senior Center (DFTA),C9601,,,,,,Sponsor: YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK | Hours: 08:00-04:00 Mon-Fri
176,HIGH,CCNS BAYSIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,221-15 Horace Harding Expressway,Queens,11364,718-225-1144,Senior Center (DFTA),C1701,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
177,HIGH,CCNS BEST LIFE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,118-35 Farmers Boulevard,Queens,11412,718-722-6095,Senior Center (DFTA),C1712,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
178,HIGH,CCNS CATHERINE SHERIDAN OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,35-24 83rd Street,Queens,11372,718-458-4600,Senior Center (DFTA),C1703,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:30-04:30 Mon-Fri
179,HIGH,CCNS DELLAMONICA- SREINWAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,23-56 Broadway,Queens,11106,718-626-1500,Senior Center (DFTA),C1702,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
180,HIGH,CCNS HILLCREST OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,91-34 182nd Pl,Queens,11432,718-297-7171,Senior Center (DFTA),C1707,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
181,HIGH,CCNS HOWARD BEACH OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,155-55 Cross Bay Blvd,Queens,11414,718-738-8100,Senior Center (DFTA),C1704,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
182,HIGH,CCNS OZONE PARK OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,103-02 101st Avenue,Queens,11416,718-847-2100,Senior Center (DFTA),C1705,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
183,HIGH,CCNS SEASIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,320 Beach 94th Street,Queens,11693,347-926-4119,Senior Center (DFTA),C1709,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
184,HIGH,CCNS WOODHAVEN-RICHMOND HILL OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,89-02 91st Street,Queens,11421,718-847-9200,Senior Center (DFTA),C1716,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
185,HIGH,JASA BROOKDALE VILLAGE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,131 Beach 19 Street,Queens,11691,718-471-3200,Senior Center (DFTA),W2204,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:30-04:30 Mon-Fri
186,HIGH,JASA HOLLISWOOD OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,86-25 Francis Lewis Boulevard,Queens,11427,718-454-6157,Senior Center (DFTA),C8305,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
187,HIGH,JASA ROCKAWAY PARK,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,106-20 Shore Front Parkway,Queens,11694,718-634-3044,Senior Center (DFTA),W2206,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
188,HIGH,JASA ROY REUTHER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,711 Seagirt Avenue,Queens,11691,718-471-3110,Senior Center (DFTA),W2205,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
189,MEDIUM,ALLEN AME COMMUNITY SENIOR CITIZENS CENTERS - LINDEN BLVD,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,4,166-01 Linden Blvd,Queens,11434,718-658-0980,Senior Center (DFTA),C0204,,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 08:00-04:00 Mon-Fri
190,MEDIUM,ALLEN AME ROCKAWAY BLVD SENIOR CENTER,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,4,123-10 143rd Street,Queens,11436,718-657-6752,Senior Center (DFTA),C0205,,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
191,MEDIUM,ALLEN AME THEODORA JACKSON CENTER,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,4,92-47 165th Street,Queens,11433,929-357-9552,Senior Center (DFTA),C0201,,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
192,MEDIUM,ALLEN INTERNATIONAL TOWERS AFFILIATE,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,4,90-20 170th Street,Queens,11432,718-657-5075,Senior Center (DFTA),C0202,,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
193,MEDIUM,CPC NAN SHAN NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,4,133-14 41st Avenue 1st Floor,Queens,11355,718-358-3030,Senior Center (DFTA),C2102,,,,,https://www.cpcnyc.org,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 08:00-04:00 Mon-Fri
194,MEDIUM,ELMCOR GOLDEN PHOENIX CLUB FOUR,ELMCOR YOUTH & ADULT ACTIVITIES INC,4,33-16 108th Street,Queens,11368,718-651-0096,Senior Center (DFTA),CC101,,,,,https://elmcor.org,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-03:00 Mon-Fri
195,MEDIUM,ELMCOR GOLDEN PHOENIX CLUB THREE,ELMCOR YOUTH & ADULT ACTIVITIES INC,4,96-05 Horace Harding ExpressWay,Queens,11368,718-651-0096,Senior Center (DFTA),45D01,,,,,https://elmcor.org,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-05:00 Mon-Fri
196,MEDIUM,GOLDEN PHOENIX 1 (ELMCOR NSC),ELMCOR YOUTH & ADULT ACTIVITIES INC,4,98-19 Astoria Blvd,Queens,11369,718-651-0096,Senior Center (DFTA),W1301,,,,,https://elmcor.org,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-05:00 Mon-Fri
197,MEDIUM,GOLDEN PHOENIX 2 (ELMCOR LEFRAK NSC),ELMCOR YOUTH & ADULT ACTIVITIES INC,4,95-18 Northern Blvd,Queens,11368,718-651-0096,Senior Center (DFTA),W1302,,,,,https://elmcor.org,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-04:00 Mon-Fri
198,MEDIUM,ELMHURST,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,75-01 Broadway Avenue,Queens,11373,718-478-7171,Senior Center (DFTA),W1604,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
199,MEDIUM,JAMAICA OLDER ADULT CENTER,QUEENS COMMUNITY HOUSE INC.,6,89-60 164th Street,Queens,11432,718-592-5757,Senior Center (DFTA),CC201,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
200,MEDIUM,QCH FOREST HILLS OAC,QUEENS COMMUNITY HOUSE INC.,6,108-25 62nd Drive,Queens,11375,718-699-1010,Senior Center (DFTA),C5601,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
201,MEDIUM,QCH KEW GARDENS COMMUNITY CENTER OAC,QUEENS COMMUNITY HOUSE INC.,6,80-02 Kew Gardens Road,Queens,11415,718-268-0895,Senior Center (DFTA),C5602,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
202,MEDIUM,QCH POMONOK OAC,QUEENS COMMUNITY HOUSE INC.,6,67-09 Kissena Blvd,Queens,11367,718-591-3377,Senior Center (DFTA),C5603,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
203,MEDIUM,QCH QUEENS CENTER FOR GAY SENIORS OAC,QUEENS COMMUNITY HOUSE INC.,6,37-06 77th Street,Queens,11372,718-533-6459,Senior Center (DFTA),C5604,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
204,MEDIUM,QCH REGO PARK OAC,QUEENS COMMUNITY HOUSE INC.,6,93-29 Queens Blvd,Queens,11374,718-896-8511,Senior Center (DFTA),C5605,,,,info@qchnyc.org,https://www.qchnyc.org,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
205,MEDIUM,SELFHELP AUSTIN ST,SELFHELP COMMUNITY SERVICES INC,5,106-06 Queens Boulevard,Queens,11375,718-520-8197,Senior Center (DFTA),W2101,,,,info@selfhelp.net,https://selfhelp.net,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:30 Mon-Fri
206,MEDIUM,SELFHELP BENJAMIN ROSENTHAL,SELFHELP COMMUNITY SERVICES INC,5,45-25 Kissena Boulevard,Queens,11355,718-886-5777,Senior Center (DFTA),W2102,,,,info@selfhelp.net,https://selfhelp.net,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
207,MEDIUM,SELFHELP CLEARVIEW,SELFHELP COMMUNITY SERVICES INC,5,208-11 26th Avenue,Queens,11360,718-224-7888,Senior Center (DFTA),W2103,,,,info@selfhelp.net,https://selfhelp.net,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
208,MEDIUM,SELFHELP LATIMER,SELFHELP COMMUNITY SERVICES INC,5,34-30 137th Street,Queens,11354,718-961-3660,Senior Center (DFTA),W2104,,,,info@selfhelp.net,https://selfhelp.net,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
209,MEDIUM,SELFHELP MASPETH,SELFHELP COMMUNITY SERVICES INC,5,69-61 Grand Avenue,Queens,11378,718-429-3636,Senior Center (DFTA),W2105,,,,info@selfhelp.net,https://selfhelp.net,Sponsor: SELFHELP COMMUNITY SERVICES INC | Hours: 08:30-04:00 Mon-Fri
210,MEDIUM,ASTORIA NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,21-21 30th Drive,Queens,11102,718-726-9642,Senior Center (DFTA),C7209,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
211,MEDIUM,CORONA OAC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,107-24 Corona Avenue,Queens,11368,718-321-0463,Senior Center (DFTA),C7203,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
212,MEDIUM,RAICES ASTORIA SOCIAL CLUB,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,4-05 Astoria Blvd,Queens,11102,718-762-9642,Senior Center (DFTA),C7210,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
213,MEDIUM,RAICES BLAND SOCIAL CLUB,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,40-15 College Point Blvd,Queens,11354,718-694-0895,Senior Center (DFTA),C7204,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
214,MEDIUM,YOUNG ISRAEL PROGRAMS FOREST HILLS,YOUNG ISRAEL PROGRAMS INC,4,68-07 Burns Street,Queens,11375,718-520-2305,Senior Center (DFTA),C9401,,,,info@youngisrael.org,https://www.youngisrael.org,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
215,MEDIUM,YOUNG ISRAEL PROGRAMS QUEENS VALLEY II,YOUNG ISRAEL PROGRAMS INC,4,141-55 77th Avenue,Queens,11367,718-263-6995,Senior Center (DFTA),C9403,,,,info@youngisrael.org,https://www.youngisrael.org,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
216,MEDIUM,YOUNG ISRAEL WAVECREST & BAYSWATER SENIOR LEAGUE,YOUNG ISRAEL PROGRAMS INC,4,2716 Healy Avenue,Queens,11691,718-327-0297,Senior Center (DFTA),C9404,,,,info@youngisrael.org,https://www.youngisrael.org,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
217,LOW,ALPHA PHI ALPHA SENIOR CITIZENS OAC,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC,1,220-01 Linden Blvd,Queens,11411,718-528-8238,Senior Center (DFTA),C0301,,,,,,Sponsor: ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC | Hours: 09:00-05:00 Mon-Fri
218,LOW,BROOKS SENIOR CENTER,BROOKS MEMORIAL UNITED METHODIST CHURCH,1,143-22 109th Avenue,Queens,11435,718-291-3935,Senior Center (DFTA),C1401,,,,,,Sponsor: BROOKS MEMORIAL UNITED METHODIST CHURCH | Hours: 08:00-04:00 Mon-Fri
219,LOW,BROOKS SENIOR CENTER,BROOKS SENIOR CENTER,1,143-22 109TH AVENUE.,Queens,11435,718-291-3935,Senior Center (DFTA),VN601,,,,,,Sponsor: BROOKS SENIOR CENTER | Hours: - Mon-Fri
220,LOW,NNORC WOW,COMMONPOINT QUEENS,3,58-20 Little Neck Parkway,Queens,11362,718-225-6750,Senior Center (DFTA),4N101,,,,info@commonpoint.org,https://www.commonpoint.org,Sponsor: COMMONPOINT QUEENS | Hours: - Mon-Fri
221,LOW,SAM FIELD OLDER ADULT CENTER,COMMONPOINT QUEENS,3,58-20 Little Neck Pkwy,Queens,11362,718-225-6750,Senior Center (DFTA),C6501,,,,info@commonpoint.org,https://www.commonpoint.org,Sponsor: COMMONPOINT QUEENS | Hours: 09:00-04:00 Mon-Fri
222,LOW,SAMUEL FIELD Y BAY TERRACE OLDER ADULT CENTER,COMMONPOINT QUEENS,3,21200 23rd Avenue,Queens,11360,718-225-4253,Senior Center (DFTA),C6502,,,,info@commonpoint.org,https://www.commonpoint.org,Sponsor: COMMONPOINT QUEENS | Hours: 08:00-04:00 Mon-Fri
223,LOW,FLORENCE E SMITH OAC,FLORENCE E. SMITH SENIOR SERVICE,1,102-19 34 Avenue,Queens,11368,718-899-0553,Senior Center (DFTA),C2501,,,,,,Sponsor: FLORENCE E. SMITH SENIOR SERVICE | Hours: 08:00-04:00 Mon-Fri
224,LOW,HANAC ANGELO PETROMELIS OLDER ADULT CENTER,HANAC INC.,3,13-28 123rd Street,Queens,11356,718-961-0344,Senior Center (DFTA),C3901,,,,info@hanac.org,https://www.hanac.org,Sponsor: HANAC INC. | Hours: 08:00-03:30 Mon-Fri
225,LOW,HANAC RAVENSWOOD OLDER ADULT CENTER,HANAC INC.,3,34-35 12th Street,Queens,11106,718-786-1550,Senior Center (DFTA),C3903,,,,info@hanac.org,https://www.hanac.org,Sponsor: HANAC INC. | Hours: 08:00-04:00 Mon-Fri
226,LOW,HARMONY JVL OLDER ADULT CENTER,HANAC INC.,3,27-40 Hoyt Avenue South,Queens,11102,718-396-5002,Senior Center (DFTA),C3902,,,,info@hanac.org,https://www.hanac.org,Sponsor: HANAC INC. | Hours: 08:30-04:30 Mon-Fri
227,LOW,INDIA HOME DESI SENIOR CENTER,INDIA HOME INC,2,85-37 168 Street,Queens,11432,917-825-1559,Senior Center (DFTA),C4401,,,,info@indiahome.org,https://www.indiahome.org,Sponsor: INDIA HOME INC | Hours: 09:00-05:00 Mon-Fri
228,LOW,INDIA HOME INC.,INDIA HOME INC,2,178-36 Wexford Terrace,Queens,11432,917-288-7600,Senior Center (DFTA),4DV01,,,,info@indiahome.org,https://www.indiahome.org,Sponsor: INDIA HOME INC | Hours: - Mon-Fri
229,LOW,ITALIAN SENIOR CITIZENS CENTER,ITALIAN SENIOR CITIZENS CENTER INC.,1,83-20 Queens Blvd,Queens,11373,718-335-7272,Senior Center (DFTA),C4501,,,,,,Sponsor: ITALIAN SENIOR CITIZENS CENTER INC. | Hours: 09:00-04:00 Mon-Fri
230,LOW,QUEENSBRIDGE CENTER,JACOB A RIIS NEIGHBORHOOD SETTLEMENT,1,10-25 41st Avenue,Queens,11101,718-784-7447,Senior Center (DFTA),C4601,,,,,,Sponsor: JACOB A RIIS NEIGHBORHOOD SETTLEMENT | Hours: 08:00-04:00 Mon-Fri
231,LOW,KOREAN COMMUNITY SERVICES CORONA OAC,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,2,37-06 111th Street,Queens,11368,718-651-9220,Senior Center (DFTA),C4901,,,,info@kcsny.org,https://www.kcsny.org,Sponsor: KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC | Hours: 09:00-05:00 Mon-Fri
232,LOW,KOREAN COMMUNITY SERVICES FLUSHING + SATELLITE MN9,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,2,42-15 166th Street,Queens,11358,718-886-8203,Senior Center (DFTA),C4902,,,,info@kcsny.org,https://www.kcsny.org,Sponsor: KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC | Hours: 05:00-05:00 Mon-Fri
233,LOW,ROBERT COUCHE OLDER ADULT CENTER,MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARDENS INC,1,137-57 Farmers Boulevard,Queens,11434,718-978-8352,Senior Center (DFTA),CC301,,,,,,Sponsor: MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARDENS INC | Hours: 09:00-05:00 Mon-Fri
234,LOW,OCEAN BAY CDC OLDER ADULT CENTER,OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,1,57-17 Shore Front Parkway,Queens,11693,718-945-8640,Senior Center (DFTA),C5301,,,,,,Sponsor: OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION | Hours: 08:00-04:00 Mon-Fri
235,LOW,PETER CARDELLA OLDER ADULT CENTER,PETER CARDELLA SENIOR CITIZEN CENTER INC,1,68-52 Fresh Pond Road,Queens,11385,718-497-2908,Senior Center (DFTA),C5401,,,,,,Sponsor: PETER CARDELLA SENIOR CITIZEN CENTER INC | Hours: 08:00-03:30 Mon-Fri
236,LOW,MIDDLE VILLAGE ADULT CENTER,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,2,69-10 75th St.,Queens,11379,718-894-3441,Senior Center (DFTA),4AT01,,,,,,Sponsor: RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA | Hours: - Mon-Fri
237,LOW,MIDDLE VILLAGE OAC,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,2,69-10 75th Street,Queens,11379,718-894-3441,Senior Center (DFTA),C5701,,,,,,Sponsor: RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA | Hours: 08:00-04:00 Mon-Fri
238,LOW,RIDGEWOOD OLDER ADULT CENTER AND SERVICES,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC,1,5914 70th Avenue,Queens,11385,718-456-2000,Senior Center (DFTA),C5901,,,,,,Sponsor: RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC | Hours: 08:30-04:00 Mon-Fri
239,LOW,ROCHDALE VILLAGE SC,ROCHDALE VILLAGE SOCIAL SERVICES INC,1,169-65 137th Avenue,Queens,11434,718-525-2800,Senior Center (DFTA),C6301,,,,,,Sponsor: ROCHDALE VILLAGE SOCIAL SERVICES INC | Hours: 09:00-05:00 Mon-Fri
240,LOW,WOODSIDE OLDER ADULT CENTER,SAMARITAN DAYTOP VILLAGE INC,2,50-37 Newtown Road,Queens,11377,718-932-6916,Senior Center (DFTA),C6401,,,,info@samaritanvillage.org,https://www.samaritanvillage.org,Sponsor: SAMARITAN DAYTOP VILLAGE INC | Hours: 07:45-03:45 Mon-Fri
241,LOW,WOODSIDE OLDER ADULT CENTER,SAMARITAN DAYTOP VILLAGE INC,2,50-37 Newtown Road,Queens,11377,718-206-2000,Senior Center (DFTA),3TB01,,,,info@samaritanvillage.org,https://www.samaritanvillage.org,Sponsor: SAMARITAN DAYTOP VILLAGE INC | Hours: - Mon-Fri
242,LOW,SNAP #1: EASTERN QUEENS OAC,SERVICES NOW FOR ADULT PERSONS INC,2,80-45 Winchester Blvd Bldg. 4,Queens,11427,718-525-8899,Senior Center (DFTA),C7001,,,,,,Sponsor: SERVICES NOW FOR ADULT PERSONS INC | Hours: 08:30-04:30 Mon-Fri
243,LOW,SNAP #2: BROOKVILLE OAC,SERVICES NOW FOR ADULT PERSONS INC,2,133-33 Brookville Boulevard,Queens,11422,718-454-2100,Senior Center (DFTA),C7002,,,,,,Sponsor: SERVICES NOW FOR ADULT PERSONS INC | Hours: 08:30-04:30 Mon-Fri
244,LOW,SUNNYSIDE COMMUNITY SERVICES OAC,SUNNYSIDE COMMUNITY SERVICES INC,1,43-39 39th Street,Queens,11104,718-784-6173,Senior Center (DFTA),C7901,,,,,,Sponsor: SUNNYSIDE COMMUNITY SERVICES INC | Hours: 08:30-04:30 Mon-Fri
245,HIGH,PSS ANDREW JACKSON,PRESBYTERIAN SENIOR SERVICES,10,325 East 156th Street,Bronx,10451,718-585-1640,Senior Center (DFTA),W1903,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
246,HIGH,PSS CITY ISLAND,PRESBYTERIAN SENIOR SERVICES,10,116 City Island Avenue,Bronx,10464,718-885-0727,Senior Center (DFTA),W1910,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-03:00 Mon-Fri
247,HIGH,PSS DAVIDSON,PRESBYTERIAN SENIOR SERVICES,10,950 Union Avenue,Bronx,10459,718-328-2811,Senior Center (DFTA),W1902,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
