venue,sponsor,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,notes
EDUCATIONAL ALLIANCE WEINBERG OAC,THE EDUCATIONAL ALLIANCE INC,197 East Broadway,Manhattan,10002,646-395-4270,Senior Center (DFTA),C8102,,,,,Sponsor: THE EDUCATIONAL ALLIANCE INC | Hours: 09:00-05:00 Mon-Fri
ENCORE AT ST MALACHY'S,ENCORE COMMUNITY SERVICES,239 West 49th Street,Manhattan,10019,212-581-2910,Senior Center (DFTA),W1401,,,,,Sponsor: ENCORE COMMUNITY SERVICES | Hours: 08:00-04:00 Mon-Fri
FIND AID CLINTON OAC,FIND AID FOR THE AGED,530 West 55th Street,Manhattan,10019,212-757-2026,Senior Center (DFTA),C3301,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
FIND AID COFFEEHOUSE CENTER,FIND AID FOR THE AGED,331 West 42nd Street,Manhattan,10036,646-545-4621,Senior Center (DFTA),C3302,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
FIND AID HAMILTON OAC,FIND AID FOR THE AGED,141 W 73rd Street,Manhattan,10023,212-787-7710,Senior Center (DFTA),C3303,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
FIND AID WOODSTOCK OAC,FIND AID FOR THE AGED,127 West 43rd Street,Manhattan,10036,212-575-0693,Senior Center (DFTA),C3304,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
FOOD BANK FOR NEW YORK CITY OAC,FOOD BANK FOR NEW YORK CITY,252 West 116th Street,Manhattan,10026,212-566-7855,Senior Center (DFTA),C3401,,,,,Sponsor: FOOD BANK FOR NEW YORK CITY | Hours: 09:00-06:00 Mon-Fri
GAYLORD WHITE OAC,UNION SETTLEMENT ASSOCIATION,2029 Second Avenue,Manhattan,10029,212-828-6055,Senior Center (DFTA),W2401,,,,,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
GODDARD RIVERSIDE LSNC OAC @ WEST 65TH ST,GODDARD-RIVERSIDE COMMUNITY CENTER,250 West 65th Street,Manhattan,10023,212-874-0860,Senior Center (DFTA),C3601,,,,,Sponsor: GODDARD-RIVERSIDE COMMUNITY CENTER | Hours: 08:00-04:00 Mon-Fri
GODDARD RIVERSIDE OAC AT WEST 88TH STREET,GODDARD-RIVERSIDE COMMUNITY CENTER,593 Columbus Avenue,Manhattan,10024,212-873-6600,Senior Center (DFTA),C3602,,,,,Sponsor: GODDARD-RIVERSIDE COMMUNITY CENTER | Hours: 09:00-05:00 Mon-Fri
GRAND ST SETTLEMENT GRAND COALITION OF OLDER ADULTS OAC,GRAND STREET SETTLEMENT INC,175 Delancey street,Manhattan,10002,646-201-4251,Senior Center (DFTA),C3701,,,,,Sponsor: GRAND STREET SETTLEMENT INC | Hours: 09:00-05:00 Mon-Fri
HAMILTON GRANGE NSC,CONVENT AVENUE BAPTIST CHURCH,420 West 145th Street,Manhattan,10032,212-862-4181,Senior Center (DFTA),C2401,,,,,Sponsor: CONVENT AVENUE BAPTIST CHURCH | Hours: 09:00-05:00 Mon-Fri
HENRY STREET OAC - GOOD COMPANIONS,HENRY STREET SETTLEMENT,334 Madison Street,Manhattan,10002,212-349-2770,Senior Center (DFTA),C4101,,,,,Sponsor: HENRY STREET SETTLEMENT | Hours: 09:00-05:00 Mon-Fri
HMH CITY HALL OLDER ADULT CENTER,HAMILTON MADISON HOUSE INC,100 Gold Street Lower Level,Manhattan,10038,212-788-5580,Senior Center (DFTA),C3801,,,,,Sponsor: HAMILTON MADISON HOUSE INC | Hours: 08:30-04:30 Mon-Fri
HUDSON GUILD,HUDSON GUILD,119 9th Avenue,Manhattan,10011,212-924-6710,Senior Center (DFTA),C8201,,,,,Sponsor: HUDSON GUILD | Hours: 09:00-05:00 Mon-Fri
INDEPENDENCE PLAZA,GREENWICH HOUSE INC.,310 Greenwich Street,Manhattan,10013,212-267-0499,Senior Center (DFTA),W1503,,,,,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
JACKIE ROBINSON OLDER ADULT CENTER,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,1301 Amsterdam Avenue,Manhattan,10027,212-222-2552,Senior Center (DFTA),C9901,,,,,Sponsor: CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC | Hours: 09:00-05:00 Mon-Fri
JASA CLUB 76 OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,120 West 76th Street,Manhattan,10023,212-712-0170,Senior Center (DFTA),C8304,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
JEFFERSON OAC,UNION SETTLEMENT ASSOCIATION,2205 1st Avenue,Manhattan,10029,212-828-6104,Senior Center (DFTA),W2403,,,,,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 08:00-04:30 Mon-Fri
LEHMAN VILLAGE SENIOR PROGRAM (SOCIAL CLUB),CARTER BURDEN NETWORK INC.,1641 Madison Avenue,Manhattan,10029,646-370-5642,Senior Center (DFTA),C1604,,,,,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
LIFELONG LEARNING CENTER @ ENCORE WEST,ENCORE COMMUNITY SERVICES,755 10th Avenue,Manhattan,10019,212-991-3726,Senior Center (DFTA),W1402,,,,,Sponsor: ENCORE COMMUNITY SERVICES | Hours: 08:00-04:30 Mon-Fri
M M BETHUNE,COTHOA LUNCHEON CLUB INC,1970 Amsterdam Avenue,Manhattan,10032,646-918-7710,Senior Center (DFTA),C2603,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 09:00-05:00 Mon-Fri
NYFSC DYCKMAN OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,3754 10th Avenue,Manhattan,10034,212-569-7790,Senior Center (DFTA),C5101,,,,,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
NYFSC LAGUARDIA OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,280 Cherry Street,Manhattan,10002,212-732-3656,Senior Center (DFTA),C5102,,,,,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
NYFSC MOTT STREET OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,180 Mott Street,Manhattan,10012,212-966-5460,Senior Center (DFTA),C5103,,,,,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 09:00-05:00 Mon-Fri
OUR LADY OF POMPEII,GREENWICH HOUSE INC.,25 Carmine Street,Manhattan,10014,212-989-3620,Senior Center (DFTA),W1502,,,,,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
POLISH AND SLAVIC CENTER INC,POLISH & SLAVIC CENTER INC,103 East 7th Street,Manhattan,10009,212-673-7704,Senior Center (DFTA),C5502,,,,,Sponsor: POLISH & SLAVIC CENTER INC | Hours: 09:00-05:00 Mon-Fri
POLO GROUNDS SATELLITE,COTHOA LUNCHEON CLUB INC,2965 Frederick Douglass Blvd,Manhattan,10039,212-283-5475,Senior Center (DFTA),C2602,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 09:00-05:00 Mon-Fri
PSS HARLEM,PRESBYTERIAN SENIOR SERVICES,127 West 127th Street,Manhattan,10027,212-222-3132,Senior Center (DFTA),W1906,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS KING TOWERS,PRESBYTERIAN SENIOR SERVICES,50 Lenox Avenue,Manhattan,10026,646-861-2077,Senior Center (DFTA),W1907,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS MANHATTANVILLE,PRESBYTERIAN SENIOR SERVICES,530 West 133rd Street,Manhattan,10027,212-862-5562,Senior Center (DFTA),W1905,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
RAIN INWOOD OAC,REGIONAL AID FOR INTERIM NEEDS INC,84 Vermilyea Avenue,Manhattan,10034,212-567-3200,Senior Center (DFTA),C5806,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RIVERSTONE SENIOR LIFE SERVICES OAC,RIVERSTONE SENIOR LIFE SERVICES INC.,99 Fort Washington Avenue,Manhattan,10032,212-927-5600,Senior Center (DFTA),C6201,,,,,Sponsor: RIVERSTONE SENIOR LIFE SERVICES INC. | Hours: 08:30-04:30 Mon-Fri
SAGE CENTER HARLEM,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,220 West 143rd Street,Manhattan,10030,929-458-0170,Senior Center (DFTA),C6902,,,,,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 09:00-05:00 Mon-Fri
SENIOR CENTER @ ST PETER'S CHURCH,LENOX HILL NEIGHBORHOOD HOUSE INC,619 Lexington Avenue,Manhattan,10022,212-308-1959,Senior Center (DFTA),W1802,,,,,Sponsor: LENOX HILL NEIGHBORHOOD HOUSE INC | Hours: 08:00-06:00 Mon-Fri
STANLEY ISAACS NSC/HOLMES OLDER ADULT CENTER,STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 E 93rd Street,Manhattan,10128,212-360-7620,Senior Center (DFTA),C7601,,,,,Sponsor: STANLEY M ISAACS NEIGHBORHOOD CENTER INC | Hours: 09:00-05:00 Mon-Fri
STEIN OLDER ADULT CENTER,STEIN SENIOR CENTER INC,204 East 23rd Street,Manhattan,10010,646-395-8083,Senior Center (DFTA),C7801,,,,,Sponsor: STEIN SENIOR CENTER INC | Hours: 08:00-04:00 Mon-Fri
UJCES LILLIAN WALD OAC CENTER,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,12 Ave D,Manhattan,10009,212-260-2731,Senior Center (DFTA),C8501,,,,,Sponsor: UNITED JEWISH COUNCIL OF THE EAST SIDE INC | Hours: 09:00-05:00 Mon-Fri
UJCES LUNCH CLUB OAC,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,15 Willett Street,Manhattan,10002,212-673-9328,Senior Center (DFTA),C8502,,,,,Sponsor: UNITED JEWISH COUNCIL OF THE EAST SIDE INC | Hours: 08:00-04:00 Mon-Fri
UNIVERSITY SETTLEMENT OAC,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 Allen Street,Manhattan,10002,212-453-4564,Senior Center (DFTA),C8701,,,,,Sponsor: UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK | Hours: 08:00-04:00 Mon-Fri
VISIONS CENTER ON AGING OAC,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,135 West 23rd Street,Manhattan,10011,646-486-4444,Senior Center (DFTA),C8801,,,,,Sponsor: VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED | Hours: 09:00-05:00 Mon-Fri
WAGNER SATELLITE,UNION SETTLEMENT ASSOCIATION,435 East 120th Street,Manhattan,10035,212-987-2980,Senior Center (DFTA),W2404,,,,,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
WASHINGTON HEIGHTS NEIGHBORHOOD SENIOR CENTER (STAR OAC),WASHINGTON HEIGHTS COMMUNITY SERVICE INC,650 West 187th Street,Manhattan,10033,212-781-8331,Senior Center (DFTA),C8901,,,,,Sponsor: WASHINGTON HEIGHTS COMMUNITY SERVICE INC | Hours: 08:00-04:00 Mon-Fri
WASHINGTON LEXINGTON SATELLITE,UNION SETTLEMENT ASSOCIATION,1775 Third Avenue,Manhattan,10029,212-828-6115,Senior Center (DFTA),W2402,,,,,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
WESTBETH,GREENWICH HOUSE INC.,155 Bank Street,Manhattan,10014,212-255-5191,Senior Center (DFTA),W1505,,,,,Sponsor: GREENWICH HOUSE INC. | Hours: 00:00-00:00 Mon-Fri
ALLEN AME COMMUNITY SENIOR CITIZENS CENTERS - LINDEN BLVD,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,166-01 Linden Blvd,Queens,11434,718-658-0980,Senior Center (DFTA),C0204,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 08:00-04:00 Mon-Fri
ALLEN AME ROCKAWAY BLVD SENIOR CENTER,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,123-10 143rd Street,Queens,11436,718-657-6752,Senior Center (DFTA),C0205,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
ALLEN AME THEODORA JACKSON CENTER,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,92-47 165th Street,Queens,11433,929-357-9552,Senior Center (DFTA),C0201,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
ALLEN INTERNATIONAL TOWERS AFFILIATE,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,90-20 170th Street,Queens,11432,718-657-5075,Senior Center (DFTA),C0202,,,,,Sponsor: ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER | Hours: 09:00-05:00 Mon-Fri
ALPHA PHI ALPHA SENIOR CITIZENS OAC,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC,220-01 Linden Blvd,Queens,11411,718-528-8238,Senior Center (DFTA),C0301,,,,,Sponsor: ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC | Hours: 09:00-05:00 Mon-Fri
ASTORIA NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,21-21 30th Drive,Queens,11102,718-726-9642,Senior Center (DFTA),C7209,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
BROOKS SENIOR CENTER,BROOKS MEMORIAL UNITED METHODIST CHURCH,143-22 109th Avenue,Queens,11435,718-291-3935,Senior Center (DFTA),C1401,,,,,Sponsor: BROOKS MEMORIAL UNITED METHODIST CHURCH | Hours: 08:00-04:00 Mon-Fri
BROOKS SENIOR CENTER,BROOKS SENIOR CENTER,143-22 109TH AVENUE.,Queens,11435,718-291-3935,Senior Center (DFTA),VN601,,,,,Sponsor: BROOKS SENIOR CENTER | Hours: - Mon-Fri
CCNS BAYSIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,221-15 Horace Harding Expressway,Queens,11364,718-225-1144,Senior Center (DFTA),C1701,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS BEST LIFE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,118-35 Farmers Boulevard,Queens,11412,718-722-6095,Senior Center (DFTA),C1712,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
CCNS CATHERINE SHERIDAN OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83rd Street,Queens,11372,718-458-4600,Senior Center (DFTA),C1703,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:30-04:30 Mon-Fri
CCNS DELLAMONICA- SREINWAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,23-56 Broadway,Queens,11106,718-626-1500,Senior Center (DFTA),C1702,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
CCNS HILLCREST OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,91-34 182nd Pl,Queens,11432,718-297-7171,Senior Center (DFTA),C1707,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
CCNS HOWARD BEACH OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,155-55 Cross Bay Blvd,Queens,11414,718-738-8100,Senior Center (DFTA),C1704,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS OZONE PARK OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101st Avenue,Queens,11416,718-847-2100,Senior Center (DFTA),C1705,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS SEASIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,320 Beach 94th Street,Queens,11693,347-926-4119,Senior Center (DFTA),C1709,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS WOODHAVEN-RICHMOND HILL OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-02 91st Street,Queens,11421,718-847-9200,Senior Center (DFTA),C1716,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CORONA OAC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,107-24 Corona Avenue,Queens,11368,718-321-0463,Senior Center (DFTA),C7203,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
CPC NAN SHAN NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,133-14 41st Avenue 1st Floor,Queens,11355,718-358-3030,Senior Center (DFTA),C2102,,,,,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 08:00-04:00 Mon-Fri
ELMCOR GOLDEN PHOENIX CLUB FOUR,ELMCOR YOUTH & ADULT ACTIVITIES INC,33-16 108th Street,Queens,11368,718-651-0096,Senior Center (DFTA),CC101,,,,,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-03:00 Mon-Fri
ELMCOR GOLDEN PHOENIX CLUB THREE,ELMCOR YOUTH & ADULT ACTIVITIES INC,96-05 Horace Harding ExpressWay,Queens,11368,718-651-0096,Senior Center (DFTA),45D01,,,,,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-05:00 Mon-Fri
ELMHURST,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,75-01 Broadway Avenue,Queens,11373,718-478-7171,Senior Center (DFTA),W1604,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
FLORENCE E SMITH OAC,FLORENCE E. SMITH SENIOR SERVICE,102-19 34 Avenue,Queens,11368,718-899-0553,Senior Center (DFTA),C2501,,,,,Sponsor: FLORENCE E. SMITH SENIOR SERVICE | Hours: 08:00-04:00 Mon-Fri
GOLDEN PHOENIX 1 (ELMCOR NSC),ELMCOR YOUTH & ADULT ACTIVITIES INC,98-19 Astoria Blvd,Queens,11369,718-651-0096,Senior Center (DFTA),W1301,,,,,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-05:00 Mon-Fri
GOLDEN PHOENIX 2 (ELMCOR LEFRAK NSC),ELMCOR YOUTH & ADULT ACTIVITIES INC,95-18 Northern Blvd,Queens,11368,718-651-0096,Senior Center (DFTA),W1302,,,,,Sponsor: ELMCOR YOUTH & ADULT ACTIVITIES INC | Hours: 09:00-04:00 Mon-Fri
HANAC ANGELO PETROMELIS OLDER ADULT CENTER,HANAC INC.,13-28 123rd Street,Queens,11356,718-961-0344,Senior Center (DFTA),C3901,,,,,Sponsor: HANAC INC. | Hours: 08:00-03:30 Mon-Fri
HANAC RAVENSWOOD OLDER ADULT CENTER,HANAC INC.,34-35 12th Street,Queens,11106,718-786-1550,Senior Center (DFTA),C3903,,,,,Sponsor: HANAC INC. | Hours: 08:00-04:00 Mon-Fri
HARMONY JVL OLDER ADULT CENTER,HANAC INC.,27-40 Hoyt Avenue South,Queens,11102,718-396-5002,Senior Center (DFTA),C3902,,,,,Sponsor: HANAC INC. | Hours: 08:30-04:30 Mon-Fri
INDIA HOME DESI SENIOR CENTER,INDIA HOME INC,85-37 168 Street,Queens,11432,917-825-1559,Senior Center (DFTA),C4401,,,,,Sponsor: INDIA HOME INC | Hours: 09:00-05:00 Mon-Fri
INDIA HOME INC.,INDIA HOME INC,178-36 Wexford Terrace,Queens,11432,917-288-7600,Senior Center (DFTA),4DV01,,,,,Sponsor: INDIA HOME INC | Hours: - Mon-Fri
ITALIAN SENIOR CITIZENS CENTER,ITALIAN SENIOR CITIZENS CENTER INC.,83-20 Queens Blvd,Queens,11373,718-335-7272,Senior Center (DFTA),C4501,,,,,Sponsor: ITALIAN SENIOR CITIZENS CENTER INC. | Hours: 09:00-04:00 Mon-Fri
JAMAICA OLDER ADULT CENTER,QUEENS COMMUNITY HOUSE INC.,89-60 164th Street,Queens,11432,718-592-5757,Senior Center (DFTA),CC201,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
JASA BROOKDALE VILLAGE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 Beach 19 Street,Queens,11691,718-471-3200,Senior Center (DFTA),W2204,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:30-04:30 Mon-Fri
JASA HOLLISWOOD OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,86-25 Francis Lewis Boulevard,Queens,11427,718-454-6157,Senior Center (DFTA),C8305,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA ROCKAWAY PARK,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,106-20 Shore Front Parkway,Queens,11694,718-634-3044,Senior Center (DFTA),W2206,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA ROY REUTHER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,711 Seagirt Avenue,Queens,11691,718-471-3110,Senior Center (DFTA),W2205,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
KOREAN COMMUNITY SERVICES CORONA OAC,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,37-06 111th Street,Queens,11368,718-651-9220,Senior Center (DFTA),C4901,,,,,Sponsor: KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC | Hours: 09:00-05:00 Mon-Fri
KOREAN COMMUNITY SERVICES FLUSHING + SATELLITE MN9,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,42-15 166th Street,Queens,11358,718-886-8203,Senior Center (DFTA),C4902,,,,,Sponsor: KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC | Hours: 05:00-05:00 Mon-Fri
MIDDLE VILLAGE ADULT CENTER,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,69-10 75th St.,Queens,11379,718-894-3441,Senior Center (DFTA),4AT01,,,,,Sponsor: RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA | Hours: - Mon-Fri
MIDDLE VILLAGE OAC,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,69-10 75th Street,Queens,11379,718-894-3441,Senior Center (DFTA),C5701,,,,,Sponsor: RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA | Hours: 08:00-04:00 Mon-Fri
NNORC WOW,COMMONPOINT QUEENS,58-20 Little Neck Parkway,Queens,11362,718-225-6750,Senior Center (DFTA),4N101,,,,,Sponsor: COMMONPOINT QUEENS | Hours: - Mon-Fri
OCEAN BAY CDC OLDER ADULT CENTER,OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,57-17 Shore Front Parkway,Queens,11693,718-945-8640,Senior Center (DFTA),C5301,,,,,Sponsor: OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION | Hours: 08:00-04:00 Mon-Fri
PETER CARDELLA OLDER ADULT CENTER,PETER CARDELLA SENIOR CITIZEN CENTER INC,68-52 Fresh Pond Road,Queens,11385,718-497-2908,Senior Center (DFTA),C5401,,,,,Sponsor: PETER CARDELLA SENIOR CITIZEN CENTER INC | Hours: 08:00-03:30 Mon-Fri
QCH FOREST HILLS OAC,QUEENS COMMUNITY HOUSE INC.,108-25 62nd Drive,Queens,11375,718-699-1010,Senior Center (DFTA),C5601,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
QCH KEW GARDENS COMMUNITY CENTER OAC,QUEENS COMMUNITY HOUSE INC.,80-02 Kew Gardens Road,Queens,11415,718-268-0895,Senior Center (DFTA),C5602,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
QCH POMONOK OAC,QUEENS COMMUNITY HOUSE INC.,67-09 Kissena Blvd,Queens,11367,718-591-3377,Senior Center (DFTA),C5603,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
QCH QUEENS CENTER FOR GAY SENIORS OAC,QUEENS COMMUNITY HOUSE INC.,37-06 77th Street,Queens,11372,718-533-6459,Senior Center (DFTA),C5604,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
QCH REGO PARK OAC,QUEENS COMMUNITY HOUSE INC.,93-29 Queens Blvd,Queens,11374,718-896-8511,Senior Center (DFTA),C5605,,,,,Sponsor: QUEENS COMMUNITY HOUSE INC. | Hours: 08:00-04:00 Mon-Fri
QUEENSBRIDGE CENTER,JACOB A RIIS NEIGHBORHOOD SETTLEMENT,10-25 41st Avenue,Queens,11101,718-784-7447,Senior Center (DFTA),C4601,,,,,Sponsor: JACOB A RIIS NEIGHBORHOOD SETTLEMENT | Hours: 08:00-04:00 Mon-Fri
RAICES ASTORIA SOCIAL CLUB,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,4-05 Astoria Blvd,Queens,11102,718-762-9642,Senior Center (DFTA),C7210,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
RAICES BLAND SOCIAL CLUB,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,40-15 College Point Blvd,Queens,11354,718-694-0895,Senior Center (DFTA),C7204,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
RIDGEWOOD OLDER ADULT CENTER AND SERVICES,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC,5914 70th Avenue,Queens,11385,718-456-2000,Senior Center (DFTA),C5901,,,,,Sponsor: RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC | Hours: 08:30-04:00 Mon-Fri
