rank,festival,date,venue,location,state,phone,website,status,booking_contact,email,notes
379,"February 20-28, 2026",646.468.0710,,"New York, NY",NY,,www.bluenotejazz.com/jazz-festival-nyc,,,,From Living Blues Festival Guide 2026
380,juneteenthny.com,"July 9, 16, 23 & 30, 2026",River & Blues,Wagner Park,NY,212.417.2000,,,,,From Living Blues Festival Guide 2026
381,Lima Crossroads Festival,"July 30-August 2, 2026",limafest.org,"Lima, NY",NY,,,,,,From Living Blues Festival Guide 2026
382,Blues in the Bay,"September 4-7, 2026",,"Fredonia, NY",NY,315.482.9531,,,,,From Living Blues Festival Guide 2026
383,festivalsfredoniany.org,"September 12, 2026",Up the River Blues Festival,Louis Engel Waterfront Park,NY,,www.uptheriverbluesfestival.com,,,,From Living Blues Festival Guide 2026
384,"Binghamton, New York","September 13-20, 2026",bluesonthebridge.com,Art is Alive,NY,,www.asaseyaaent.orgNiagara Falls Blues Festival,,,,From Living Blues Festival Guide 2026
385,LBPL Celebration of Jazz & Blues,"September 26, 2026",,"Long Beach, NY",NY,516.307.2787,www.aip4arts.org,,,,From Living Blues Festival Guide 2026
386,"Highmount, New York",,mountainjamfestival.com,Buffalo Blues & Roots Festival,NY,,,,,,From Living Blues Festival Guide 2026
387,Buffalo RiverWorks,716.342.2292,buffaloriverworks.com,"Buffalo, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
388,Hudson River Park,212.627.2020,hudsonriverpark.org,"New York, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
389,"Brooklyn, New York",,Washington Square Park Folk Festival,Tba,Tba,,www.brooklynfolkfest.com,,,,From Living Blues Festival Guide 2026
390,Greenwich Village,,,"New York, Tba",Tba,,www.wspfolkfest.com,,,,From Living Blues Festival Guide 2026
391,North Carolina Jazz Festival,"February 5-7, 2026",,"March 6, NC",NC,910.399.6536,,,,,From Living Blues Festival Guide 2026
392,"Fayetteville, North Caroline",8th Annual Queen City Blues Festival,bluesisalright.com,"March 7, NC",NC,,,,,,From Living Blues Festival Guide 2026
393,MerleFest,"April 23-26, 2026",,"April 25, NC",NC,800.343.7857,,,,,From Living Blues Festival Guide 2026
394,"Morehead City, North Carolina",252.726.6273,,"Durham, NC",NC,,www.ncseafoodfestival.org,,,,From Living Blues Festival Guide 2026
395,NC Blues Week,"May 8-17, 2026",piedmontblues.org,"Greensboro, NC",NC,,,,,,From Living Blues Festival Guide 2026
396,musicmaker.org/freight-train-blues,"May 29-31, 2026",Bear Shadow,"Highlands, NC",NC,,,,,,From Living Blues Festival Guide 2026
397,"Wilmington, North Carolina",,DownEast Music Festival,Rocky Mount Sports Complex,NC,,"www.eliteentgrp.comBBQ, Blues & Brews",,,,From Living Blues Festival Guide 2026
398,Seven Springs Farm & Vineyard,,lawn-chair-and-tents-only-tickets-253684,"Norlina, NC",NC,,www.simpletix.com/e/bbq-blues-brews-,,,,From Living Blues Festival Guide 2026
399,"High Point, North Carolina",336.819.5299,Eno River Association’s 60th Anniversary,coltranejazzfest.com,NC,,,,,,From Living Blues Festival Guide 2026
400,North Carolina Folk Festival,"September 18-20, 2026",,"Black Mountain, NC",NC,,www.ncfolkfestival.com,,,,From Living Blues Festival Guide 2026
401,Duck Jazz Festival,"October 10-11, 2026",,"Duck, NC",NC,252.255.1234,,,,,From Living Blues Festival Guide 2026
402,River House Inn,,newriverbluesfestival.info,"Grassy Creek, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
403,Buggies-N-Blues,"June 12-14, 2026",,"July 24-25, ND",ND,701.751.2983,www.buggies-n-blues.org,,,,From Living Blues Festival Guide 2026
404,"Fargo, North Dakota","February 7, 2026",fargoblues.comOHIO,Cincinnati Winter Blues Experience VII,ND,513.836.1118,,,,,From Living Blues Festival Guide 2026
405,Pickle’s Blues Weekend,"March 6-7, 2026",,"March 20-21, ND",ND,419.227.7463,www.oldcityprime.com,,,,From Living Blues Festival Guide 2026
406,The Lafayette Hotel,304.481.8389,bjfm.org,"Marietta, ND",ND,,,,,,From Living Blues Festival Guide 2026
407,"Cleveland, Ohio",216.677.8733,GACBS Bluesfest,thetreelawn.com,ND,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
408,groups/235973476460482,"June 4-6, 2026",Logan Washboard Arts & Music Festival,"Logan, ND",ND,,www.loganwashboardfestival.com,,,,From Living Blues Festival Guide 2026
409,"Gahanna, Ohio",,Nelsonville Music Festival,Snow Fork Event Center,ND,740.753.1924,www.creeksidebluesandjazz.com,,,,From Living Blues Festival Guide 2026
410,Sean Carney’s Blues for a Cure,"June 26-27, 2026",,"Cadiz, ND",ND,614.906.4700,www.bluesforacure.com,,,,From Living Blues Festival Guide 2026
411,"July 11-12, 2026",513.739.2583,Village Green Park,"Fairfield, ND",ND,,,,,,From Living Blues Festival Guide 2026
412,Jazz & Rib Fest,"July 24-26, 2026",Bicentennial Park,West Bank Park &,ND,,www.hotribscooljazz.org,,,,From Living Blues Festival Guide 2026
413,"Canal Winchester, Ohio",614.270.5053,,"Waterville, ND",ND,,www.bluesandribfest.com,,,,From Living Blues Festival Guide 2026
414,"July 31-August 1, 2026",513.268.6069,lebanonbluesfestival.com,"Lebanon, ND",ND,,www.springfieldjazzbluesfest.com,,,,From Living Blues Festival Guide 2026
415,Dayton African American Cultural Festival,"August 15, 2026",,"Granville, ND",ND,937.715.5121,www.facebook.com/DAACFEST,,,,From Living Blues Festival Guide 2026
416,CBUS Soul Fest,"September 4-5, 2026",cbussoulfest.comBlues and Brews Festival,"Columbus, ND",ND,,,,,,From Living Blues Festival Guide 2026
417,Brews-Festival,"September 11-13, 2026",Black Swamp Arts Festival,"Bowling Green, ND",ND,,www.blackswampfest.org,,,,From Living Blues Festival Guide 2026
418,"Hamilton, Ohio",513.868.8336,,Big Bend Blues Bash,ND,,www.pyramidhill.org,,,,From Living Blues Festival Guide 2026
419,"Pomeroy, Ohio",,bigbendbluesbash.com,TruBlues 97.5 Marion Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
420,"Marion, Ohio",,trublues975.com,Rubber City Jazz & Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
421,"Akron, Ohio",,Dayton Blues Festival,Tba,Tba,,www.rubbercityjazz.org,,,,From Living Blues Festival Guide 2026
422,Levitt Pavilion Dayton,937.281.2144,levittdayton.org,"Dayton, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
423,Bixby Rotary BBQ’n Blues Festival,"May 14-16, 2026",,"June 19-21, OK",OK,918.549.8065,www.bixbyrotarybbq.com,,,,From Living Blues Festival Guide 2026
424,"Tulsa, Oklahoma",918.200.9703,,"Rentiesville, OK",OK,,www.tulsajuneteenth.org,,,,From Living Blues Festival Guide 2026
425,"Arcadia, Oklahoma",,arcadiabluesfestival.com,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
426,Rose City Blues,"February 20-22, 2026",pdxblues.com,"Portland, OR",OR,,,,,,From Living Blues Festival Guide 2026
427,"Milwaukie, Oregon",503.880.7171,Seaside Jazz & Blues Festival,winterbluesfest.net,OR,503.997.4902,,,,,From Living Blues Festival Guide 2026
428,Bend Blues Festival,"June 27, 2026",,"Portland, OR",OR,,www.bendbluesfest.com,,,,From Living Blues Festival Guide 2026
429,waterfrontbluesfest.com,"July 25-26, 2026",Bigfoot Blues Festival,Port of Brookings Harbor,OR,541.469.2218,www.portofbrookingsharbor.com,,,,From Living Blues Festival Guide 2026
430,"July 30-August 2, 2026","September 12, 2026",Pendarvis Farm,"Happy Valley, OR",OR,,,,,,From Living Blues Festival Guide 2026
431,findyourselfinwaldport.com,"October 7-11, 2026",Blues in the Gorge,Menucha Retreat and Conference Center,OR,503.695.2243,,,,,From Living Blues Festival Guide 2026
432,"Medford, Oregon",,,Tba,Tba,,www.rogueblues.org,,,,From Living Blues Festival Guide 2026
433,Lehigh River Blues Jam,"January 31, 2026",bevconklin.com/lehigh-river-blues-jam,"Allentown, PA",PA,,,,,,From Living Blues Festival Guide 2026
434,LancasterRootsAndBlues,"March 19-29, 2026",Boscov’s Berks Jazz Fest,"Reading, PA",PA,610.898.1930,www.berksjazzfest.com,,,,From Living Blues Festival Guide 2026
435,Terchon VFW Post 5542,215.946.4794,,"Indiana, PA",PA,,www.facebook.com/BUCKSCOUNTYBLUES,,,,From Living Blues Festival Guide 2026
436,westsylvaniajazzandblues.org,"June 6, 2026",Chester County Blues Barbecue,Wyndsor Farm,PA,,,,,,From Living Blues Festival Guide 2026
437,"Allentown, Pennsylvania",610.810.1676,,"June 20, PA",PA,,www.discoverlehighvalley.com/events/,,,,From Living Blues Festival Guide 2026
438,"Honesdale, Pennsylvania","June 20-21, 2026",honesdalerootsandrhythm.comFranklin Blues & Barbecue Festival,Bandstand Park,PA,412.585.0360,www.franklinbluesandbbq.org,,,,From Living Blues Festival Guide 2026
439,"July 9-11, 2026",570.379.3342,,"Creighton, PA",PA,,www.briggsfarm.com,,,,From Living Blues Festival Guide 2026
440,"Blast Furnace Blues: Stars, Stripes &","July 17-18, 2026",Steel,SteelStacks,PA,610.332.1300,www.artsquest.org,,,,From Living Blues Festival Guide 2026
441,"July 18, 2026","July 24-25, 2026",Snipes Farm,"Morrisville, PA",PA,814.539.1889,,,,,From Living Blues Festival Guide 2026
442,Erie’s Blues & Jazz Festival,"August 1-2, 2026",,"August 14-16, PA",PA,,www.eriebluesandjazz.com,,,,From Living Blues Festival Guide 2026
443,"Harleysville, Pennsylvania","August 29, 2026",folkfest.org,Anson B. Nixon Park Roots & Blues,PA,610.444.1416,,,,,From Living Blues Festival Guide 2026
444,roots-and-blues-festival,"August 29, 2026",East Petersburg Blues Festival,"East Petersburg, PA",PA,215.802.0500,www.facebook.com/eastpetebluesfestPittsburgh International Jazz Festival,,,,From Living Blues Festival Guide 2026
445,pittsburghjazzfest.org,"September 26, 2026",Haverford Township Music Festival,"Havertown, PA",PA,,,,,,From Living Blues Festival Guide 2026
446,"Chesterbrook, Pennsylvania",,mainlinemusicfest.com,Reading Blues Fest,Tba,,,,,,From Living Blues Festival Guide 2026
447,"Reading, Pennsylvania",610.898.1930,,st.com,Tba,,www.readingbluesfe,,,,From Living Blues Festival Guide 2026
448,"Philadelphia, Pennsylvania",,,Tba,Tba,,www.philadelphiabluessociety.org/festival,,,,From Living Blues Festival Guide 2026
449,Newport Folk Festival,"July 24-26, 2026",newportfolk.org,"Newport, RI",RI,,,,,,From Living Blues Festival Guide 2026
450,"Newport, Rhode Island","August 23, 2026",newportjazz.org,General Stanton Inn Blues Music Festival,RI,401.364.8888,www.thegeneralstantoninn.com,,,,From Living Blues Festival Guide 2026
451,Rhode Island Folk Festival,"August 30, 2026",rhodeislandfolkfestival.com,"East Providence, RI",RI,,,,,,From Living Blues Festival Guide 2026
452,"September 4-6, 2026",,Ninigret Park,"Charlestown, RI",RI,,,,,,From Living Blues Festival Guide 2026
453,Deep Winter Blues Festival,"February 21, 2026",,"February 28, SC",SC,864.898.2936,,,,,From Living Blues Festival Guide 2026
454,North Charleston Coliseum,"April 11, 2026",bluesisalright.com,"Charleston, SC",SC,,www.macarnold.com/tour,,,,From Living Blues Festival Guide 2026
455,Charleston Jazz Festival,"April 13-21, 2026",,"Rock Hill, SC",SC,843.641.0011,,,,,From Living Blues Festival Guide 2026
456,Old Time Weekend Jam Festival,"April 17-18, 2026",,"April 18, SC",SC,864.898.2936,,,,,From Living Blues Festival Guide 2026
457,James Island County Park,843.795.4386,,"Kiawah Island, SC",SC,,www.ccprc.com,,,,From Living Blues Festival Guide 2026
458,freshfieldsvillage.comMauldin Blues & Jazz Festival,"April 18, 2026",,"May 2, SC",SC,864.335.4862,,,,,From Living Blues Festival Guide 2026
459,Dolly Cooper Park,"May 9, 2026",rhythmontheriver.org,"Powdersville, SC",SC,,,,,,From Living Blues Festival Guide 2026
460,Spoleto Festival USA,"May 22-June 7, 2026",,"Charleston, SC",SC,843.579.3100,,,,,From Living Blues Festival Guide 2026
461,piccolospoleto.com,"June 6, 2026",Sparkle City Rhythm & Ribs Festival,Barnet Park,SC,864.680.6674,,,,,From Living Blues Festival Guide 2026
462,"June 19, 2026",,Historic Harriet Barber House & Grounds,"Hopkins, SC",SC,864.942.8448,www.harrietbarberhouse.org,,,,From Living Blues Festival Guide 2026
463,Riverfront Revival,"October 9-10, 2026",,"Cheraw, SC",SC,,www.riverfrontrevival.com,,,,From Living Blues Festival Guide 2026
464,"October 23-24, 2026","November 7, 2026",bbqbluesboos.org,"Barnwell, SC",SC,843.678.5912,www.scpecanfestival.com,,,,From Living Blues Festival Guide 2026
465,"Whiskey, Wine & Blues","November 14, 2026",,"Blues, SC",SC,,www.whiskeywineblues.com,,,,From Living Blues Festival Guide 2026
466,"Greenville, South Carolina",,tenatthetop.org,Six Mile Issaqueena Festival,Tba,,,,,,From Living Blues Festival Guide 2026
467,"Six Mile, South Carolina",864.868.2653,,"Martin Luther King, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
468,"Chester, South Carolina",,Piedmont Blues & Roots Festival,Tba,Tba,,www.facebook.com/MLKJrBluesFestival,,,,From Living Blues Festival Guide 2026
469,"Laurens, South Carolina",864.984.3933,,Blues & Jazz Festival,Tba,,www.laurensbluesandroots.com,,,,From Living Blues Festival Guide 2026
470,"Rock Hill, South Carolina",803.328.2787,,"BBQ, Tba",Tba,,www.yorkcountyarts.org/bluesandjazz,,,,From Living Blues Festival Guide 2026
471,Historic Harriet Barber House & Grounds,,,"Hopkins, Tba",Tba,,www.harrietbarberhouse.org,,,,From Living Blues Festival Guide 2026
472,Deadwood Blues Festival,"July 10-12, 2026",deadwoodbluesfest.com,"Deadwood, SD",SD,,,,,,From Living Blues Festival Guide 2026
473,sdfotm.org,,,SD,SD,,,,,,From Living Blues Festival Guide 2026
474,"August 1, 2026",605.945.0794,Grey Goose Store & Social Club,"Pierre, SD",SD,,www.facebook.com/GreyGooseStore,,,,From Living Blues Festival Guide 2026
475,International Blues Challenge,"January 13-17, 2026",,"Knoxville, TN",TN,901.527.2583,,,,,From Living Blues Festival Guide 2026
476,bigearsfestival.org,"May 1-3, 2026",RiverBeat Music Festival,Tom Lee Park,TN,,,,,,From Living Blues Festival Guide 2026
477,"May 6, 2026",47th Annual Blues Music Awards,Alfred’s,"Memphis, TN",TN,901.527.2583,,,,,From Living Blues Festival Guide 2026
478,blues.org,"May 9, 2026",Art for All Festival,Dixon Gallery & Gardens,TN,,,,,,From Living Blues Festival Guide 2026
479,West Tennessee Delta Heritage Center,731.779.9000,,"Morristown, TN",TN,,www.exit56blues.com,,,,From Living Blues Festival Guide 2026
480,"May 30, 2026",865.637.4561,Emory Place,"Knoxville, TN",TN,,www.dogwoodarts.com,,,,From Living Blues Festival Guide 2026
481,Music City Freedom Festival,"June 20-21, 2026",,"September 4-6, TN",TN,615.525.0392,www.musiccityfreedomfest.com,,,,From Living Blues Festival Guide 2026
482,Junebug Boogie Ranch,,Bristol Rhythm & Roots Reunion,"Cookeville, TN",TN,423.573.1927,www.muddyroots.com,,,,From Living Blues Festival Guide 2026
483,AmericanaFest,"September 15-19, 2026",americanamusic.org,"Nashville, TN",TN,,,,,,From Living Blues Festival Guide 2026
484,louiebluie.org,"October 9-11, 2026",Mempho Music Festival,Radians Amphitheater at Memphis Botanic,TN,,,,,,From Living Blues Festival Guide 2026
485,"October 17, 2026",731.779.9000,,"Memphis, TN",TN,,www.hatchiefallfest.com,,,,From Living Blues Festival Guide 2026
486,riverartsmemphis.orgWCTE PBS Blues & Brews Craft Beer,"October 24, 2026",Festival,"Cookeville, TN",TN,931.528.2222,www.wcte.org,,,,From Living Blues Festival Guide 2026
487,"Franklin, Tennessee",865.637.4561,pilgrimagefestival.com,Southern Skies Music & Whiskey Festival,TN,,,,,,From Living Blues Festival Guide 2026
488,"Nashville, Tennessee",615.200.0354,Jefferson Street Jazz & Blues Festival,artsbellevue.org,Tba,,,,,,From Living Blues Festival Guide 2026
489,Robertson County Fairgrounds,805.625.1332,,"Springfield, Tba",Tba,,www.facebook.com/crookedeyebluesfest,,,,From Living Blues Festival Guide 2026
490,"Memphis, Tennessee",901.527.9565,,Tba,Tba,,www.wlok.com/stone-soul-picnic,,,,From Living Blues Festival Guide 2026
491,"January 17, 2026",830.997.3224,Luckenbach Dance Hall,"Fredericksburg, TX",TX,,www.luckenbachtexas.com,,,,From Living Blues Festival Guide 2026
492,"Dallas, Texas",214.828.9500,,TX,TX,,www.knon.org,,,,From Living Blues Festival Guide 2026
493,"March 8, 2026",713.715.9675,Houston Botanic Garden,"Houston, TX",TX,,,,,,From Living Blues Festival Guide 2026
494,Luck Reunion,"March 19, 2026",luckpresents.com,"Luck, TX",TX,,,,,,From Living Blues Festival Guide 2026
495,"Fort Worth, Texas",,Threads of Tradition Festival,ACE Center,TX,512.441.9255,www.fwaamusicfest.com,,,,From Living Blues Festival Guide 2026
496,oldsettlersmusicfest.org,18th Annual H-Town Blues Festival,NRG Arena,"April 24, TX",TX,,,,,,From Living Blues Festival Guide 2026
497,"Crockett, Texas",,Texas Trust CU Theatre,"April 25, TX",TX,,www.discovercrocketttx.com21st Annual Dallas Blues Festival,,,,From Living Blues Festival Guide 2026
498,Moody Amphitheater at Waterloo Park,,KNON Fort Worth Blues Festival,"Austin, TX",TX,214.828.9500,www.austinbluesfestival.com,,,,From Living Blues Festival Guide 2026
499,Dallas International Guitar Festival,"May 1-3, 2026",,"May 21-June 7, TX",TX,972.240.2206,www.guitarshow.com,,,,From Living Blues Festival Guide 2026
500,"Kerrville, Texas",830.257.3600,,"Austin, TX",TX,512.832.4000,www.kerrvillefolkfestival.org,,,,From Living Blues Festival Guide 2026
501,green-2026,"June 19-20, 2026",Missouri City Juneteenth Celebration,Hunters Glen Park,TX,281.545.5009,,,,,From Living Blues Festival Guide 2026
502,"June 20, 2026",,Doyle Community Pavilion,"Kerrville, TX",TX,,www.bluesfestkerrville.org,,,,From Living Blues Festival Guide 2026
503,willienelson.comBlues on Main,"September 5-6, 2026",,"September 26-27, TX",TX,972.878.4748,www.visitennistexas.com/bluesonmain,,,,From Living Blues Festival Guide 2026
504,"Austin, Texas","October 2-4 & 9-11, 2026",crossroadsguitarfestival.com,Austin City Limits Music Festival,TX,,www.aclfestival.com,,,,From Living Blues Festival Guide 2026
505,"October 17-18, 2026",,Houston Bluesfest,"East Austin, TX",TX,,www.eastsidekingsfest.com,,,,From Living Blues Festival Guide 2026
506,On hiatus,432.897.1469,tallcitybluesfest.com,"Midland, TX",TX,,,,,,From Living Blues Festival Guide 2026
507,"Denton, Texas",,Wortham Blues Festival,Tba,Tba,,www.dentonbluesfest.com,,,,From Living Blues Festival Guide 2026
508,"Wortham, Texas",,Navasota Blues Fest,Tba,Tba,,www.worthambluesfest.org,,,,From Living Blues Festival Guide 2026
509,"Navasota, Texas",979.696.2787,,Tba,Tba,,www.acbv.org,,,,From Living Blues Festival Guide 2026
510,Utah Blues Festival,"June 12-13, 2026",,"June 18-21, UT",UT,,www.utahbluesfest.org,,,,From Living Blues Festival Guide 2026
511,"Salt Lake City, Utah",801.322.2428,,uaf.org,UT,,,,,,From Living Blues Festival Guide 2026
512,Tuacahn Amphitheatre,800.746.9882,southernutahbluesfestival.com,"Ivins, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
513,Burlington Discover Jazz Festival,"June 3-7, 2026",,"September 5-6, VT",VT,802.652.4500,www.flynnvt.org/bdjf,,,,From Living Blues Festival Guide 2026
514,"Plymouth Notch, Vermont",802.672.3773,,plymouthfolk.com,VT,,,,,,From Living Blues Festival Guide 2026
515,Winter Blues & Jazz Fest,"January 16-19, 2026",,"March 14, VA",VA,,www.winterbluesjazzfest.com,,,,From Living Blues Festival Guide 2026
516,"Charlottesville, Virginia",855.452.2295,,"Norfolk, VA",VA,,www.boarsheadresort.com/beer,,,,From Living Blues Festival Guide 2026
517,festevents.org,"June 13, 2026",Columbia Pike Blues Festival,"Arlington, VA",VA,703.892.2776,www.columbia-pike.org/bluesfest,,,,From Living Blues Festival Guide 2026
518,Festival Park at Atlantic Union Bank Pavilion,757.627.0864,ulhr.org/juneteenthHampton Jazz & Music Festival,"Portsmouth, VA",VA,757.838.4203,,,,,From Living Blues Festival Guide 2026
519,beacheventsvb.com,"September 26, 2026",John Jackson Piedmont Blues Festival,Castleton Meadows,VA,540.675.3619,www.facebook.com/johnjacksonbluesfest,,,,From Living Blues Festival Guide 2026
520,"Waynesboro, Virginia",540.943.9999,,Tinner Hill Music Festival,Tba,,www.virginiachili.com,,,,From Living Blues Festival Guide 2026
521,"Falls Church, Virginia",703.241.4109,,Stone Soul Music & Food Festival,Tba,,www.tinnerhill.org,,,,From Living Blues Festival Guide 2026
522,"Richmond, Virginia",804.672.9299,7 City Blues Festival,kissrichmond.com,Tba,,,,,,From Living Blues Festival Guide 2026
523,Scope Arena,,bluesisalright.com,"Norfolk, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
524,Poulsbo Blues & Jazz Festival,"February 27-28, 2026",poulsborotary.org/poulsbo-blues-jazzWalla Walla Guitar Festival,"Poulsbo, WA",WA,,,,,,From Living Blues Festival Guide 2026
525,"May 14-17 & September 10-13, 2026",509.633.3786,Sunbanks Lakes Resort,"Electric City, WA",WA,,www.sunbanksfestival.com,,,,From Living Blues Festival Guide 2026
526,"Seattle, Washington",206.684.7300,Gorge Blues & Brews Festival,nwfolklife.org,WA,509.427.3980,,,,,From Living Blues Festival Guide 2026
527,GorgeBluesandBrewsFestival,"July 4, 2026",Celebration Park,"Red, WA",WA,253.835.6900,,,,,From Living Blues Festival Guide 2026
528,"July 17-19, 2026",800.820.9884,The Blues Ranch,"Winthrop, WA",WA,,,,,,From Living Blues Festival Guide 2026
529,"Port Townsend, Washington",360.385.3102,Rainier Music Festival,centrum.org,WA,,www.rainiermusicfestival.com,,,,From Living Blues Festival Guide 2026
530,Peninsula Blues Festival,"August 14-15, 2026",,"Ocean Park, WA",WA,360.214.2652,www.peninsulablues.com,,,,From Living Blues Festival Guide 2026
531,North Bend Blues Walk,"October 3, 2026",,"Bellevue, WA",WA,425.453.1223,www.northbendblueswalk.com,,,,From Living Blues Festival Guide 2026
532,Snoqualmie Days,,,WA,WA,,,,,,From Living Blues Festival Guide 2026
533,"Snoqualmie, Washington",,snoqualmiedays.org,Kitsap Blues Music Festival,Tba,,,,,,From Living Blues Festival Guide 2026
534,Kitsap Fairgrounds,360.373.6810,,"Bremerton, Tba",Tba,,www.admiraltheatre.org/kitsapblues,,,,From Living Blues Festival Guide 2026
535,Blues Week at Augusta Heritage Center,"July 13-17, 2026",College,Augusta Heritage Center of Davis & Elkins,WV,304.637.1209,,,,,From Living Blues Festival Guide 2026
536,Heritage Port Amphitheater,,West Virginia Black Heritage Festival,"Wheeling, WV",WV,304.641.9963,www.wvbhf.comWest Virginia Wine & Jazz Festival,,,,From Living Blues Festival Guide 2026
537,"September 19-20, 2026",,Hazel Ruby McQuain Park,"Morgantown, WV",WV,,,,,,From Living Blues Festival Guide 2026
538,"Huntington, West Virginia",,Johnnie Johnson,Blues & Jazz Festival,Tba,,www.huntingtonbluessociety.com,,,,From Living Blues Festival Guide 2026
539,"Fairmont, West Virginia",,JohnnieJohnsonBluesandJazz,Diamond Teeth Mary Medicine Show,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
540,"March 13-14, 2026","April 17-18, 2026",Rothschild Pavilion,"Rothschild, WI",WI,,,,,,From Living Blues Festival Guide 2026
541,thebendwi.org,"June 16-17, June 18-20, June 25-27, &",Summerfest,"July 2-4, WI",WI,,www.summerfest.com,,,,From Living Blues Festival Guide 2026
542,Green County Fairgrounds,,Blue Ox Music Festival,"Monroe, WI",WI,715.602.4440,www.monroeballoonandblues.com,,,,From Living Blues Festival Guide 2026
543,"July 11, 2026",,Central Park,"Two Rivers, WI",WI,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
544,New Glarus Village Park,608.527.2095,,"Prairie du Chien, WI",WI,,www.swisstown.com,,,,From Living Blues Festival Guide 2026
545,Sugar Maple Music Festival,"July 31-August 1, 2026",,"August 6-8, WI",WI,608.209.1252,,,,,From Living Blues Festival Guide 2026
546,Veteran’s Memorial Park,,Celebration Place,"August 15, WI",WI,262.898.5616,www.bluesonthechippewa.com,,,,From Living Blues Festival Guide 2026
547,Big Bull Falls Blues Fest,"August 21-22, 2026",wausauevents.org/big-bull-falls-blues-fest,"Wausau, WI",WI,,,,,,From Living Blues Festival Guide 2026
548,Chain O’Lakes Blues Festival,"October 2-3, 2026",,"Waupaca, WI",WI,715.258.7343,,,,,From Living Blues Festival Guide 2026
549,"September 4, 2027",262.208.6288,,"Delafield, WI",WI,,www.paramountmusic.org,,,,From Living Blues Festival Guide 2026
550,Granville Blues Fest,,,WI,WI,,,,,,From Living Blues Festival Guide 2026
551,"Milwaukee, Wisconsin",414.550.8150,,granvillebusiness.org,Tba,,,,,,From Living Blues Festival Guide 2026
552,Sweetwater Blues n’ Brews,"August 22, 2026",,"Rock Springs, WY",WY,307.352.1434,www.downtownrs.com/sweetwater-blues-,,,,From Living Blues Festival Guide 2026
553,The February Blues Music Festival,"February 1-2, 2026",,"February 12-15, Canada",Canada,800.668.9100,www.barriejazzbluesfest.com,,,,From Living Blues Festival Guide 2026
554,Tranzac Club,,Mid-Winter Blues Festival,"Toronto, Canada",Canada,,www.winterfolk.com,,,,From Living Blues Festival Guide 2026
555,"May 1-2, 2026",,Orangeville Blues & Jazz Festival,"Hornby Island, Canada",Canada,,www.hornbyblues.ca,,,,From Living Blues Festival Guide 2026
556,"Orangeville, Ontario",519.215.2439,Pender Harbour Blues Festival,orangevillebluesandjazz.ca,Canada,604.741.1186,www.penderharbourbluesfestival.com,,,,From Living Blues Festival Guide 2026
557,Barrie Jazz and Blues Festival,"June 11-22, 2026",,"Stratford, Canada",Canada,,www.barriejazzbluesfest.com,,,,From Living Blues Festival Guide 2026
558,Toronto Jazz Fest,"June 19-28, 2026",torontojazz.com,"Toronto, Canada",Canada,604.872.5200,,,,,From Living Blues Festival Guide 2026
559,Jazz Fest Saguenay,"June 25-27, 2026",,"Montréal, Canada",Canada,418.815.2554,www.jazzfestsaguenay.com,,,,From Living Blues Festival Guide 2026
560,montrealjazzfest.com,"July 3-4, 2026",Edmundston Jazz & Blues Festival,"Edmundston, Canada",Canada,,,,,,From Living Blues Festival Guide 2026
561,mariposafolk.comBeaches International Jazz Festival,"July 3-26, 2026",,"July 8-12, Canada",Canada,416.698.2152,www.beachesjazz.com,,,,From Living Blues Festival Guide 2026
562,"Mont-Tremblant, Québec",888.738.1777,Lighthouse Blues Festival,bluestremblant.ca,Canada,,www.lighthousebluesfestival.com,,,,From Living Blues Festival Guide 2026
563,"July 9-19, 2026",613-247-1188,LeBreton Flats,"Ottawa, Canada",Canada,,,,,,From Living Blues Festival Guide 2026
564,"Bécancour, Québec",819.298.2882,Festival Blues d’la Baie,moulinmichel.com,Canada,,www.bluesdlabaie.com,,,,From Living Blues Festival Guide 2026
565,"July 24-25, 2026",,Fort Langley Park,"Langley Township, Canada",Canada,,www.fortlangleyjazzfest.com,,,,From Living Blues Festival Guide 2026
566,"Salmon Arm, British Columbia",250.833.4096,Calgary International Blues Festival,rootsandblues.ca,Canada,403.668.7144,,,,,From Living Blues Festival Guide 2026
567,Festival de Blues de Donnacona,"August 5-9, 2026",donnaconablues.com,"Donnacona, Canada",Canada,,,,,,From Living Blues Festival Guide 2026
568,"August 6-9, 2026",,Edmonton Folk Festival,"Kitchener, Canada",Canada,780.429.1899,www.kitchenerbluesfestival.com,,,,From Living Blues Festival Guide 2026
569,edmontonfolkfest.org,"August 6-9, 2026",Nanaimo Blues Festival,Maffeo Sutton Park,Canada,,,,,,From Living Blues Festival Guide 2026
