rank,festival,date,venue,city,state,phone,website,status,booking_contact,email,notes
347,Musikfest,"Jul 31 - Aug 9, 2026",,Bethlehem,PA,(610) 332-1300,https://www.frontstagefestivals.com/festival/musikfest-2026,,https://www.artsquest.org/performing-arts/apply-to-perform/,programming@artsquest.org,Operated by ArtsQuest. General info: info@artsquest.org
348,"September 26, 2026",TBA,haverfordmusicfestival.org,Havertown,PA,,,,,,From Living Blues Festival Guide 2026
349,SteelStacks,"July 18, 2026",Bucks County Blues Festival,Bethlehem,PA,610.332.1300,www.artsquest.org,,,,From Living Blues Festival Guide 2026
350,Westsylvania Jazz & Blues Festival,2026,,,PA,,https://westsylvaniajazzandblues.org/news/star-call,,https://westsylvaniajazzandblues.org/news/star-call,indianaartscouncil@gmail.com,Organized by Indiana Arts Council. Star Call is for student musicians.
351,chestercountyblues.com,"June 13, 2026",major-events-festivals/blues-brews-and-,Allentown Blues,PA,610.810.1676,www.discoverlehighvalley.com/events/,,,,From Living Blues Festival Guide 2026
352,roots-and-blues-festival,"August 29, 2026",East Petersburg Blues Festival,East Petersburg,PA,215.802.0500,www.facebook.com/eastpetebluesfestPittsburgh International Jazz Festival,,,,From Living Blues Festival Guide 2026
353,st.com,TBA,BCBS Fall Footstomper,Terchon VFW Post 5542,PA,215.946.4794,www.facebook.com/BUCKSCOUNTYBLUES,,,,From Living Blues Festival Guide 2026
354,General Stanton Inn Blues Music Festival,"August 23, 2026",General Stanton Inn,Charlestown,RI,401.364.8888,www.thegeneralstantoninn.com,,,,From Living Blues Festival Guide 2026
355,Newport Folk Festival,"July 24-26, 2026",Fort Adams State Park,Newport,RI,,,,https://newportfolk.org/contact,,"Contact form with ""Artist Submissions"" dropdown option"
356,"September 4-6, 2026",,Ninigret Park,Charlestown,RI,,,,,,From Living Blues Festival Guide 2026
357,rhodeislandfolkfestival.com,,,,RI,,,,,,From Living Blues Festival Guide 2026
358,Blues & Jazz Festival,TBA,Congaree Swampfest,Rock Hill,SC,803.328.2787,www.yorkcountyarts.org/bluesandjazz,,,,From Living Blues Festival Guide 2026
359,Deep Winter Blues Festival,"February 21, 2026",Hagood Mill Historic Site,Pickens,SC,864.898.2936,,,,,From Living Blues Festival Guide 2026
360,"Kiawah Island, South Carolina","April 18, 2026",freshfieldsvillage.comMauldin Blues & Jazz Festival,Mauldin Outdoor Amphitheater,SC,864.335.4862,,,,,From Living Blues Festival Guide 2026
361,"October 23-24, 2026","November 7, 2026",bbqbluesboos.org,Barnwell,SC,843.678.5912,www.scpecanfestival.com,,,,From Living Blues Festival Guide 2026
362,"Powdersville, South Carolina","May 9, 2026",rhythmontheriver.org,R&B & Southern Soul Rodeo,SC,,,,,,From Living Blues Festival Guide 2026
363,Riverfront Revival,"October 9-10, 2026",Riverfront Park,North Charleston,SC,843.537.8420,www.riverfrontrevival.com,,,,From Living Blues Festival Guide 2026
364,South Carolina State Fairgrounds,TBA,tenatthetop.org,Columbia,SC,,www.whiskeywineblues.com,,,,From Living Blues Festival Guide 2026
365,bluesisalright.com,"April 11, 2026",Mac Arnold’s 20th Annual Cornbread &,Collard Greens Blues Festival,SC,843.641.0011,www.macarnold.com/tour,,,,From Living Blues Festival Guide 2026
366,charlestonjazz.com,"April 16-25, 2026",Come-See-Me Festival,Rock Hill,SC,803.329.7625,www.comeseeme.org,,,,From Living Blues Festival Guide 2026
367,rhythmandribs.org,Juneteenth Celebration,Historic Harriet Barber House & Grounds,June 19,SC,864.942.8448,www.harrietbarberhouse.org,,,,From Living Blues Festival Guide 2026
368,sixmilesc.org,TBA,Piedmont Blues & Roots Festival,Martin Luther King,SC,864.984.3933,www.facebook.com/MLKJrBluesFestival,,,,From Living Blues Festival Guide 2026
369,spoletousa.org,"May 22-June 7, 2026",Piccolo Spoleto Festival,Charleston,SC,864.680.6674,,,,,From Living Blues Festival Guide 2026
370,visithagoodmill.com,"April 18, 2026",Lowcountry Cajun Festival,James Island County Park,SC,843.795.4386,www.ccprc.com,,,,From Living Blues Festival Guide 2026
371,"August 1, 2026","September 18-19, 2026",Grey Goose Store & Social Club,Pierre,SD,605.945.0794,www.facebook.com/GreyGooseStore,,,,From Living Blues Festival Guide 2026
372,Deadwood Blues Festival,"July 10-12, 2026",deadwoodbluesfest.com,Deadwood,SD,,,,,,From Living Blues Festival Guide 2026
373,Bristol Rhythm & Roots Reunion,"September 11-13, 2026",bristolrhythm.com,Bristol,TN,423.573.1927,,,,,From Living Blues Festival Guide 2026
374,International Blues Challenge,"January 13-17, 2026",blues.org,Memphis,TN,901.527.2583,,,,,From Living Blues Festival Guide 2026
375,Jefferson Street Jazz & Blues Festival,TBA,jeffersonstreetjazzandbluesfestival,Nashville,TN,615.726.5867,www.facebook.com/,,,,From Living Blues Festival Guide 2026
376,"June 20-21, 2026","September 4-6, 2026",Hadley Park,Nashville,TN,615.525.0392,www.musiccityfreedomfest.com,,,,From Living Blues Festival Guide 2026
377,"May 1-3, 2026","May 6, 2026",Tom Lee Park,Memphis,TN,,,,,,From Living Blues Festival Guide 2026
378,"May 30, 2026","June 11-14, 2026",Emory Place,Knoxville,TN,865.637.4561,www.dogwoodarts.com,,,,From Living Blues Festival Guide 2026
379,"May 7, 2026","May 9, 2026",blues.org,Memphis,TN,901.527.2583,,,,,From Living Blues Festival Guide 2026
380,Southern Skies Music & Whiskey Festival,TBA,On hiatus,Knoxville,TN,615.200.0354,,,,,From Living Blues Festival Guide 2026
381,WLOK Stone Soul Picnic,TBA,,Memphis,TN,901.527.9565,www.wlok.com/stone-soul-picnic,,,,From Living Blues Festival Guide 2026
382,memphofest.com,"October 17, 2026",Hatchie Fall Fest,Brownsville,TN,731.779.9000,www.hatchiefallfest.com,,,,From Living Blues Festival Guide 2026
383,riverartsmemphis.orgWCTE PBS Blues & Brews Craft Beer,"October 24, 2026",Festival,Cookeville,TN,931.528.2222,www.wcte.org,,,,From Living Blues Festival Guide 2026
384,Camp Ben,18th Annual H-Town Blues Festival,oldsettlersmusicfest.org,Drifrwood,TX,,,,,,From Living Blues Festival Guide 2026
385,"Crockett, Texas","April 25, 2026",Texas Trust CU Theatre,Grand Prairie,TX,,www.discovercrocketttx.com21st Annual Dallas Blues Festival,,,,From Living Blues Festival Guide 2026
386,Crossroads Guitar Festival,"September 26-27, 2026",Moody Center,Austin,TX,,www.aclfestival.com,,,,From Living Blues Festival Guide 2026
387,Eastside Kings Festival,"October 17-18, 2026",Houston Bluesfest,East Austin,TX,,www.eastsidekingsfest.com,,,,From Living Blues Festival Guide 2026
388,"January 17, 2026",26th Annual KNON Blues Festival,Luckenbach Dance Hall,Fredericksburg,TX,214.828.9500,www.luckenbachtexas.com,,,,From Living Blues Festival Guide 2026
389,KNON Fort Worth Blues Festival,"April 26, 2026",Southside Preservation Hall,Fort Worth,TX,214.828.9500,www.knon.org,,,,From Living Blues Festival Guide 2026
390,Kerrville Folk Festival,"May 21-June 7, 2026",Blues on the Green,Kerrville,TX,512.832.4000,www.kerrvillefolkfestival.org,,,,From Living Blues Festival Guide 2026
391,"Kerrville, Texas","July 4, 2026",Willie Nelson’s 4th of July Picnic,Germania Insurance Amphitheater,TX,972.878.4748,www.bluesfestkerrville.org,,,,From Living Blues Festival Guide 2026
392,Luck Reunion,"March 19, 2026",luckpresents.com,Luck,TX,,www.fwaamusicfest.com,,,,From Living Blues Festival Guide 2026
393,"March 8, 2026","March 12-18, 2026",Houston Botanic Garden,Houston,TX,512.467.7979,www.sxsw.com,,,,From Living Blues Festival Guide 2026
394,"Midland, Texas",TBA,tallcitybluesfest.com,Denton Blues Festival,TX,432.897.1469,www.dentonbluesfest.com,,,,From Living Blues Festival Guide 2026
395,Navasota Blues Fest,TBA,,Navasota,TX,979.696.2787,www.acbv.org,,,,From Living Blues Festival Guide 2026
396,Threads of Tradition Festival,"March 28, 2026",ACE Center,Edinburg,TX,512.441.9255,,,,,From Living Blues Festival Guide 2026
397,green-2026,"June 19-20, 2026",Missouri City Juneteenth Celebration,Hunters Glen Park,TX,281.545.5009,,,,,From Living Blues Festival Guide 2026
398,samsburgerjoint.com,"April 17, 2026",A Taste of New Orleans,Sunken Garden Theater in Breckenridge,TX,210.531.9464,www.saza.org,,,,From Living Blues Festival Guide 2026
399,Tuacahn Amphitheatre,,southernutahbluesfestival.com,Ivins,UT,800.746.9882,,,,,From Living Blues Festival Guide 2026
400,Utah Blues Festival,"June 12-13, 2026",Gallivan Center,Salt Lake City,UT,801.322.2428,www.utahbluesfest.org,,https://www.utahbluesfest.org,UBFProducer@gmail.com,Also UBFVENDORS@gmail.com for vendor inquiries
401,uaf.org,,,,UT,,,,,,From Living Blues Festival Guide 2026
402,Bayou Bon Vivant,"May 15-17, 2026",Town Point Park,Cajun Music,VA,703.892.2776,,,,,From Living Blues Festival Guide 2026
403,Floydfest,"Jul 22-26, 2026",,Floyd,VA,,https://www.frontstagefestivals.com/festival/floydfest-2026,,https://floydfest.com/contact-us/booking/,performer@atwproductions.com,Artist submissions via email with promotional assets
404,John Jackson Piedmont Blues Festival,"September 26, 2026",Castleton Meadows,Castleton,VA,804.788.6466,www.facebook.com/johnjacksonbluesfest,,,,From Living Blues Festival Guide 2026
405,Juneteenth Freedom Day,"June 19, 2026",Festival Park at Atlantic Union Bank Pavilion,Portsmouth,VA,757.838.4203,,,,,From Living Blues Festival Guide 2026
406,Stone Soul Music & Food Festival,TBA,kissrichmond.com,Richmond,VA,804.672.9299,,,,,From Living Blues Festival Guide 2026
407,Virginia Chili Blues & Brews,TBA,Tinner Hill Music Festival,Waynesboro,VA,703.241.4109,www.virginiachili.com,,,,From Living Blues Festival Guide 2026
408,Winter Blues & Jazz Fest,"January 16-19, 2026",William & Mary Alumni House,Williamsburg,VA,855.452.2295,www.winterbluesjazzfest.com,,,,From Living Blues Festival Guide 2026
409,Burlington Discover Jazz Festival,"June 3-7, 2026",Plymouth Folk & Blues Festival,Burlington,VT,802.672.3773,www.flynnvt.org/bdjf,,,,From Living Blues Festival Guide 2026
410,plymouthfolk.com,,,,VT,,,,,,From Living Blues Festival Guide 2026
411,"Electric City, Washington","May 22-25, 2026",Northwest Folklife Festival,Seattle Center,WA,206.684.7300,www.sunbanksfestival.com,,,,From Living Blues Festival Guide 2026
412,"June 19-20, 2026","July 4, 2026",Skamania County Fairgrounds,Stevenson,WA,509.427.3980,www.facebook.com/,,,,From Living Blues Festival Guide 2026
413,"North Bend, Washington","October 7-11, 2026",Bellevue Jazz & Blues Music Series,Bellevue,WA,425.453.1223,www.northbendblueswalk.com,,,,From Living Blues Festival Guide 2026
414,"Ocean Park, Washington",,,,WA,360.214.2652,www.peninsulablues.com,,,,From Living Blues Festival Guide 2026
415,"Port Townsend, Washington","August 1, 2026",centrum.org,Rainier Music Festival,WA,360.385.3102,www.rainiermusicfestival.com,,,,From Living Blues Festival Guide 2026
416,Poulsbo Blues & Jazz Festival,"February 27-28, 2026",poulsborotary.org/poulsbo-blues-jazzWalla Walla Guitar Festival,Poulsbo,WA,,,,,,From Living Blues Festival Guide 2026
417,itallhappenshere.org/rwb,"July 17-19, 2026",Winthrop Rhythm & Blues Festival,The Blues Ranch,WA,800.820.9884,,,,,From Living Blues Festival Guide 2026
418,snoqualmiedays.org,TBA,Kitsap Blues Music Festival,Kitsap Fairgrounds,WA,360.373.6810,www.admiraltheatre.org/kitsapblues,,,,From Living Blues Festival Guide 2026
419,"August 6-8, 2026","August 15, 2026",Veteran’s Memorial Park,Durand,WI,262.898.5616,www.bluesonthechippewa.com,,,,From Living Blues Festival Guide 2026
420,Big Bull Falls Blues Fest,"August 21-22, 2026",Fern Island Park,Wausau,WI,920.421.1559,www.facebook.com/ellisonbayblues,,https://wausauevents.org/big-bull-falls-blues-fest,brooklyn@wausauevents.org,Sponsorship contact: brooklyn@wausauevents.org. Volunteer: volunteer@wausauevents.org. Appears curated.
421,Blue Ox Music Festival,"June 25-27, 2026",The Pines Music Park,Eau Claire,WI,715.602.4440,www.blueoxmusicfestival.comBryan Lee Memorial Blues Festival,,,,From Living Blues Festival Guide 2026
422,BryanLeeBrailleBluesDaddy,"July 18, 2026",Festival,New Glarus Blues,WI,608.527.2095,www.swisstown.com,,,,From Living Blues Festival Guide 2026
423,Chain O’Lakes Blues Festival,"October 2-3, 2026",Indian Crossing Casino,Waupaca,WI,715.258.7343,,,,,From Living Blues Festival Guide 2026
424,"March 13-14, 2026","April 17-18, 2026",Rothschild Pavilion,Rothschild,WI,262.346.7156,,,,,From Living Blues Festival Guide 2026
425,Mile of Music,"Jul 30 - Aug 2, 2026",,Appleton,WI,,https://www.frontstagefestivals.com/festival/mile-of-music-2026,,https://mileofmusic.com/contact-us/,info@mileofmusic.com,Artist submissions page: mileofmusic.com/festival-artists/artist-submissions/ (currently closed for 2026)
426,"Milwaukee, Wisconsin",,granvillebusiness.org,,WI,414.550.8150,,,,,From Living Blues Festival Guide 2026
427,"September 4, 2027",,Waukesha Rotary BluesFest,Port Washington / Grafton,WI,262.208.6288,www.paramountmusic.org,,,,From Living Blues Festival Guide 2026
428,St. Feriole Island,"July 31-August 1, 2026",Sugar Maple Music Festival,Prairie du Chien,WI,608.209.1252,www.prairiedogblues.com,,,,From Living Blues Festival Guide 2026
429,Summerfest,"June 16-17, June 18-20, June 25-27, &",Monroe Balloon & Blues Festival,July 2-4,WI,,www.summerfest.com,,,,From Living Blues Festival Guide 2026
430,Blues Week at Augusta Heritage Center,"July 13-17, 2026",Augusta Heritage Center of Davis & Elkins,College,WV,304.637.1209,,,,,From Living Blues Festival Guide 2026
431,"Huntington, West Virginia",TBA,Johnnie Johnson,Blues & Jazz Festival,WV,,www.huntingtonbluessociety.com,,,,From Living Blues Festival Guide 2026
432,"September 11-13, 2026","September 19-20, 2026",Hazel Ruby McQuain Park,Clarksburg,WV,304.641.9963,www.wvbhf.comWest Virginia Wine & Jazz Festival,,,,From Living Blues Festival Guide 2026
433,Snowshoe Mountain,"August 7-9, 2026",Heritage Music BluesFest,Snowshoe,WV,877.441.4386,www.snowshoemtn.com,,,,From Living Blues Festival Guide 2026
434,"Jackson Hole, Wyoming",,INTERNATIONAL,,WY,,www.horseshoemusicfestival.com,,,,From Living Blues Festival Guide 2026
435,Sweetwater Blues n’ Brews,"August 22, 2026",Bunning Park,Rock Springs,WY,307.352.1434,www.downtownrs.com/sweetwater-blues-,,,,From Living Blues Festival Guide 2026
436,Blues at Bridgetown,2026,,Bridgetown,Australia,,https://wam.org.au/2026/03/11/blues-at-bridgetown-2026-artist-applications-open/,,,,Found via web search
437,"Cleveland, Queensland",,redlandbaysidebluesfestival2022,,Australia,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
438,"February 27-March 1, 2026","March 13-15, 2026",Memorial Park,The Entrance,Australia,,www.bmff.org.au,,,,From Living Blues Festival Guide 2026
439,Girrakool Blues Festival,"Feb 27 - Mar 1, 2026",,Central Coast,Australia,,https://girrakoolblues.com.au/artist-applications/,,,,Found via web search
440,"July 23-26, 2026","September 18-20, 2026",winterblues.com.au,Echuca,Australia,,www.mitchellcreekrocknbluesfest.com.au,,,,From Living Blues Festival Guide 2026
441,Port Noarlunga Music Festival,"November 20-22, 2026",portnoarlungabluesfestival.com.au,Port Noarlunga,Australia,,www.agnesbluesandroots.com.auRedlands Coast Blues Festival,,,,From Living Blues Festival Guide 2026
442,Riverglade Caravan Park,"April 24-26, 2026",rocktheturf.com,Tumut,Australia,,www.discoveryholidayparks.com.au/,,,,From Living Blues Festival Guide 2026
443,St. Kilda Blues Festival,"February 27-March 1, 2026",stkildabluesfestival.com.au,St. Kilda,Australia,,,,,,From Living Blues Festival Guide 2026
444,The Blues Train,"May 2, 16, & 23, 2026",Bellarine Railway,Queenscliff,Australia,,www.thebluestrain.com.au,,,,From Living Blues Festival Guide 2026
445,Thredbo Blues Festival,"January 16-18, 2026",thredboblues.com.au,Thredbo,Australia,,www.matsumura.com.au,,,,From Living Blues Festival Guide 2026
446,"August 6-9, 2026","August 6-9, 2026",Edmonton Folk Festival,Kitchener,Canada,780.429.1899,www.kitchenerbluesfestival.com,,,,From Living Blues Festival Guide 2026
447,Barrie Jazz and Blues Festival,"June 11-22, 2026",Stratford Live Music & Food,Barrie,Canada,,www.barriejazzbluesfest.com,,,,From Living Blues Festival Guide 2026
448,Belleville Downtown Blues Festival,"September 12, 2026",downtownblues.ca,Belleville,Canada,506.454.2583,,,,,From Living Blues Festival Guide 2026
449,Festival Blues d’la Baie,"July 23-26, 2026",Cool Blues Show,Petit-Rocher,Canada,,www.bluesdlabaie.com,,,,From Living Blues Festival Guide 2026
450,Festival International de Jazz de Montréal,"June 25-July 4, 2026",montrealjazzfest.com,Montréal,Canada,855.219.0576,,,,,From Living Blues Festival Guide 2026
451,Festival de Blues de Donnacona,"August 5-9, 2026",donnaconablues.com,Donnacona,Canada,,,,,,From Living Blues Festival Guide 2026
452,"July 3-5, 2026","July 3-26, 2026",mariposafolk.comBeaches International Jazz Festival,Orillia,Canada,416.698.2152,www.beachesjazz.com,,,,From Living Blues Festival Guide 2026
453,"July 8-12, 2026","July 9-11, 2026",bluestremblant.ca,Mont-Tremblant,Canada,888.738.1777,www.lighthousebluesfestival.com,,,,From Living Blues Festival Guide 2026
454,LeBreton Flats,"July 17-19, 2026",ottawabluesfest.ca,Ottawa,Canada,819.298.2882,,,,,From Living Blues Festival Guide 2026
455,Markham Jazz Festival,"August 21-23, 2026",Tim Hortons Southside Shuffle Blues and,Unionville,Canada,416.770.4374,www.markhamjazzfestival.com,,,,From Living Blues Festival Guide 2026
456,Mid-Winter Blues Festival,"March 5-7, 2026",reginablues.ca,Regina,Canada,,www.saskatoonbluessociety.caHornby Island Blues Week,,,,From Living Blues Festival Guide 2026
457,Orangeville Blues & Jazz Festival,"June 5-7, 2026",orangevillebluesandjazz.ca,Orangeville,Canada,604.741.1186,www.penderharbourbluesfestival.com,,,,From Living Blues Festival Guide 2026
458,Salmon Arm Roots & Blues Festival,"July 24-26, 2026",Salmon Arm Fairgrounds,Salmon Arm,Canada,250.833.4096,,,,,From Living Blues Festival Guide 2026
459,"September 18-20, 2026",TBA,wasagabeachblues.com,Wasaga Beach,Canada,,,,,,From Living Blues Festival Guide 2026
460,The February Blues Music Festival,"February 1-2, 2026",Multiple Locations,Simcoe County,Canada,800.668.9100,www.barriejazzbluesfest.com,,,,From Living Blues Festival Guide 2026
461,"Toronto, Ontario","June 19-July 5, 2026",torontojazz.com,Vancouver International Jazz Festival,Canada,604.872.5200,www.coastaljazz.ca,,,,From Living Blues Festival Guide 2026
462,JamaicaOchoRiosInternationalJazzFestival,,,,Caribbean,,,,,,From Living Blues Festival Guide 2026
463,"Marie-Galante, Guadeloupe",4th Annual Blues Jamaica Getaway,Jamaica Ocho Rios Jazz Festival,November 1-4,Caribbean,,www.terredeblues.com,,,,From Living Blues Festival Guide 2026
464,Mustique Blues Festival,"January 21-February 4, 2026",Basil’s Bar,Mustique,Caribbean,784.488.8350,,,,,From Living Blues Festival Guide 2026
465,curacaoblueseasfestival.com,"April 25-May 8, 2026",Saint Lucia Jazz & Arts Festival,Saint Lucia,Caribbean,,www.saintluciajazzandartsfestival.com,,,,From Living Blues Festival Guide 2026
466,Costa Rica Blues Festival,"February 21, 2026",costaricablues.com,Grecia,Central America,,,,,,From Living Blues Festival Guide 2026
467,"Fort Lauderdale, Florida to Grand Turk,","March 15-19, 2027",bluescruise.com,Turks & Caicos,Cruises,877.379.9170,,,,,From Living Blues Festival Guide 2026
468,Havila Blues Cruise 2026,"April 17-28, 2026",cruise,Bergen to Kirkenes,Cruises,843.722.1122,www.havilavoyages.com/offers/blues-,,,,From Living Blues Festival Guide 2026
469,charlestonharbortours.comLegendary Rhythm & Blues Cruise #45,"October 31-November 7, 2026",bluescruise.com,San Diego,Cruises,800.258.3746,,,,,From Living Blues Festival Guide 2026
470,sandybeachescruises.com,"January 16-23, 2027",The Big Easy Cruise,Fort Lauderdale,Cruises,855.923.7222,,,,,From Living Blues Festival Guide 2026
471,Blues Aperitiv Competition,2026,,,Czech Republic,,https://www.bluesalive.cz/en/aperitiv-en/,,,,Found via web search
472,Fuji Rock Festival,"July 24-26, 2026",Naeba Ski Resort,Yuzawa,East Asia,,www.fujirockfestival.com,,,,From Living Blues Festival Guide 2026
473,"November 24-December 2, 2026",TBA,Bongcheon Salon Dance Hall,Seoul,East Asia,,,,,,From Living Blues Festival Guide 2026
474,ABAS Blues Festival & Challenge,2026,,,Greece,,https://europeanbluesunion.com/abas-blues-festival-challenge-2026/,,,,Found via web search
475,"January 21-24 & February 26, 2027",TBA,tequilabluesrock.com,Zihua & Ixtapa,Mexico,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
476,Loreto International Blues Festival,"March 14, 2026",Festival Internacional de Jazz & Blues,Loreto,Mexico,,www.facebook.com/LoretoBlues,,,,From Living Blues Festival Guide 2026
477,"San Felipe, Baja California, Mexico",,bluesandarts.org,,Mexico,442.456.2444,,,,,From Living Blues Festival Guide 2026
478,"April 3-6, 2026","May 8-10, 2026",Bay of Islands Jazz & Blues Festival,Waiheke Island,New Zealand,,www.waihekejazzfestival.co.nz,,,,From Living Blues Festival Guide 2026
479,Blues on the Point Festival,"March 13, 2026",The Honest Lawyer,Nelson,New Zealand,,,,,,From Living Blues Festival Guide 2026
480,"Palmerston North, New Zealand",TBA,NZ Blues and BBQ Festival,Rotorua,New Zealand,,www.mjc.org.nz,,,,From Living Blues Festival Guide 2026
481,+31.06.22.32.74.85,"May 22-24, 2026",Blues Peer,Peer,South America,,www.bredajazzfestival.nl,,,,From Living Blues Festival Guide 2026
482,+39.349.080.1381,"June 25-July 4, 2026",JazzAscona,Ascona,South America,,www.torritablues.it,,,,From Living Blues Festival Guide 2026
483,"April 8, 2026","April 11, 2026",The Stables,Milton Keynes,South America,,www.ukblues.org,,,,From Living Blues Festival Guide 2026
484,Arran Rock ‘n’ Blues Festival,"May 1-3, 2026",Kingdom,Brodick,South America,,www.blues-sur-seine.comKwadendamme Blues Festival,,,,From Living Blues Festival Guide 2026
485,Blues Express,"July 11, 2026",+352.58.77.1.1900,Lasauvage & Fond-de-Gras,South America,,www.bluesexpress.lu,,,,From Living Blues Festival Guide 2026
486,Blues Rules Crissier Festival,"June 5-6, 2026",Afro Blue Festival,Crissier,South America,,www.blues-rules.com,,,,From Living Blues Festival Guide 2026
487,Bluesfest Eutin,"May 28-31, 2026",Mönsterås Blues & Roots Festival,Eutin,South America,,www.baltic-blues.de,,,,From Living Blues Festival Guide 2026
488,"Bridgwater, United Kingdom",TBA,Léman Blues Festival,Annemasse,South America,,www.facebook.com/BBAFFUK,,,,From Living Blues Festival Guide 2026
489,"Callander, Scotland, United Kingdom","October 3, 2026",CallanderJazzAndBl,uesFestival,South America,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
490,Cognac Blues Passions,"July 1-4, 2026",bluespassions.com,Cognac,South America,,www.facebook.com/BluesCazorla,,,,From Living Blues Festival Guide 2026
491,"Edinburgh, Scotland, United Kingdom","July 23-26, 2026",ejbf.com.uk,Porretta Soul Festival,South America,,,,,,From Living Blues Festival Guide 2026
492,"February 28, 2027","April 1-4, 2027",ments.com,Leeds,South America,,www.solidentertain,,,,From Living Blues Festival Guide 2026
493,Freiburg Blues Festival,TBA,freiburg-blues-festival.de,Freiburg,South America,,,,,,From Living Blues Festival Guide 2026
494,German Blues Challenge Blues Awards &,"November 7, 2026",Festival,Freiburg,South America,,www.baltic-blues.de,,,,From Living Blues Festival Guide 2026
495,"Grand-Synthe, France","November 6-8, 2026",Blues sur Seine,Whitby Blues,South America,,www.baycarbluesfestival.fr,,,,From Living Blues Festival Guide 2026
496,"Grolloo, Netherlands","June 19-21, 2026",Blackpool International Soul Festival,Winter Gardens Blackpool,South America,,www.hollandinternationalbluesfestival.com,,,,From Living Blues Festival Guide 2026
497,"July 17-19, 2026","July 17-19, 2026",Knoll Farm,Wareham,South America,,www.rusticstomp.co.uk,,,,From Living Blues Festival Guide 2026
498,"July 3-4, 2026","July 3-12, 2026",Umbria Jazz,Gaildorf,South America,,www.kulturschmiede.de,,,,From Living Blues Festival Guide 2026
499,"June 4-7, 2026","November 21-22, 2026",Muddy Roots Buenos Aires,Rio das Ostras,South America,,www.riodasostrasjazzeblues.com,,,,From Living Blues Festival Guide 2026
500,"Katowice, Poland","April 23-26, 2026",europeanbluesunion.com,Orkney Blues Festival,South America,,www.orkneyblues.co.uk,,,,From Living Blues Festival Guide 2026
501,Kwadendamme Indoor Blues Festival,"December 19, 2026",Imperial Hotel,Kwadendamme,South America,,www.kwadendamme.com,,,,From Living Blues Festival Guide 2026
502,"Kwadendamme, Netherlands","May 8-9, 2026",Geneva Blues Festival,Alhambra Hall,South America,,www.kwadendamme.com,,,,From Living Blues Festival Guide 2026
503,"March 25-29, 2026","March 28, 2026",+33.06.82.15.35.19,Thouars,South America,,www.blues-n-co.org,,,,From Living Blues Festival Guide 2026
504,"Montreux, Switzerland","July 7-13, 2026",Good Time Blues Fest,Guglionesi,South America,,www.montreuxjazzfestival.com,,,,From Living Blues Festival Guide 2026
505,Muddy Roots Brasil,"May 1-2, 2026",Arena Blues Festival,São Paulo,South America,,www.muddyroots.com,,,,From Living Blues Festival Guide 2026
506,"Méricourt, Bouafle, & Saint-Martin-la-","May 29-31, 2026",Benicàssim Blues Festival,Garenne,South America,,www.blues-sur-seine.com,,,,From Living Blues Festival Guide 2026
507,Notodden Blues Festival,"July 30-August 2, 2026",bluesfest.no,Notodden,South America,,www.muddyroots.com,,,,From Living Blues Festival Guide 2026
508,"November 12-14, 2026","November 13-15, 2026",Tenby Blues Festival,Šumperk,South America,,www.bluesalive.cz,,,,From Living Blues Festival Guide 2026
509,Pakkasukko Blues N’ Jazz,"February 4-8, 2026",Villa Sessions – Vila do Conde Blues,Kemi,South America,,www.pakkasukkobluesnjazz.com,,,,From Living Blues Festival Guide 2026
510,Passage du Presbytère,"June 18-20, 2026",Sierre Blues Festival,Marnaz,South America,,www.lesnuitsbluesdemarnaz.fr,,,,From Living Blues Festival Guide 2026
511,"Ponta Malongane, Mozambique","September 25-26, 2026",strab.co.za,Standard Bank Joy of Jazz Festival,South America,,www.joyofjazz.co.za,,,,From Living Blues Festival Guide 2026
512,"Saint-Louis, Sénégal","March 27-28, 2026",+221.33.960.07.34,Cape Town International Jazz Festival,South America,,www.saintlouisjazz.org,,,,From Living Blues Festival Guide 2026
513,"September 3-7, 2026","October 2-3, 2026",Blues Heaven Festival,Monaghan Town,South America,,www.harvestblues.ie,,,,From Living Blues Festival Guide 2026
514,"Skånevik, Norway","July 2-5, 2026",Dereham Blues Festival,Dereham,South America,,www.skaanevik-blues.com,,,,From Living Blues Festival Guide 2026
515,"Trilj, Croatia","July 24-26, 2026",thrillbluesfestival.com,Bilbao Blues Festival,South America,,www.bilbaobluesfestival.com,,,,From Living Blues Festival Guide 2026
516,ViJazz & Blues Festival,TBA,Blues & Folk Festival,Viçosa,South America,,www.vijazz.com.br,,,,From Living Blues Festival Guide 2026
517,alsurleniger.org,TBA,Jozi Blues Festival,Edenvale,South America,,www.taragalte.org,,,,From Living Blues Festival Guide 2026
518,and Culture,TBA,,Ain Farba,South America,,www.festival-au-desert.org,,,,From Living Blues Festival Guide 2026
519,bluesfest.net,"July 10-12, 2026",Moseley Park,Mostly Jazz,South America,,,,,,From Living Blues Festival Guide 2026
520,brasovjazz.ro,"August 21-23, 2026",Swing Wespelaar,Wespelaar,South America,,www.swingwespelaar.be,,,,From Living Blues Festival Guide 2026
521,Mahindra Blues Festival,"February 14-15, 2026",Mehboob Studios,Bandra,South Asia,,,,,,From Living Blues Festival Guide 2026
